codigo_acta,codigo_mesa,votos_p1,votos_p2,votos_p3,votos_p4,blancos,nulos,habilitados,anfora,no_usadas,observacion_formal,tipo_observacion_formal
1030100067009,1030100067009,114,10,43,211,6,6,405,390,15,,
1030100067010,1030100067010,24,13,36,76,20,0,176,169,7,,
1030100067011,1030100067011,135,95,158,363,35,87,959,873,86,,
1030100067012,1030100067012,13,57,32,193,60,14,440,369,71,,
1030100067013,1030100067013,60,28,90,360,39,42,621,619,2,,
1030100067014,1030100067014,109,49,24,175,51,47,583,455,128,,
1030200081001,1030200081001,89,113,93,297,119,55,781,766,15,,
1030200081002,1030200081002,126,92,51,191,109,39,757,608,149,,
1030200081003,1030200081003,62,35,54,106,33,13,347,303,44,,
1030200081004,1030200081004,104,84,9,176,13,40,459,426,33,,
1030200081005,1030200081005,32,80,5,166,73,16,468,372,96,,
1030200081006,1030200081006,12,4,6,26,11,7,80,66,14,Mesa en lugar distinto: Funcionamiento de la mesa de sufragio en un recinto diferente al autorizado por la autoridad electoral.,MESA_LUGAR_DISTINTO
1030200087001,1030200087001,5,3,3,24,2,0,45,37,8,,
1030200087002,1030200087002,3,44,33,110,23,0,236,213,23,,
1030200087003,1030200087003,161,101,70,176,125,18,788,651,137,,
1030200087004,1030200087004,15,75,65,274,32,22,501,483,18,,
1030200087005,1030200087005,0,12,12,154,33,15,257,226,31,,
1030200087006,1030200087006,126,37,132,239,2,71,734,607,127,,
1030200087007,1030200087007,24,60,27,72,26,15,276,224,52,,
1030200087008,1030200087008,67,2,54,107,0,3,235,233,2,,
1030200087009,1030200087009,103,165,21,259,116,57,752,721,31,,
1030200087010,1030200087010,6,3,3,22,3,0,37,37,0,,
1030300097001,1030300097001,2,1,1,5,1,0,10,10,0,,
1030300097002,1030300097002,95,3,101,370,22,40,702,631,71,,
1030300097003,1030300097003,132,38,16,252,44,28,582,510,72,,
1030300097004,1030300097004,141,152,17,185,78,20,745,593,152,,
1030300097005,1030300097005,4,72,69,353,65,55,706,618,88,,
1030300097006,1030300097006,79,20,8,327,77,35,553,546,7,,
1030300097007,1030300097007,7,22,25,147,5,1,248,207,41,,
1030300097008,1030300097008,112,82,73,92,26,20,421,405,16,,
1030300097009,1030300097009,31,35,4,34,15,10,153,129,24,,
1030300097010,1030300097010,118,123,50,172,43,28,674,534,140,,
1030300097011,1030300097011,39,53,30,59,2,7,233,190,43,,
1030300097012,1030300097012,62,60,43,23,13,19,257,220,37,,
1030300097013,1030300097013,26,59,39,56,15,3,223,198,25,,
1030300097014,1030300097014,48,20,52,301,113,61,721,595,126,,
1030300097015,1030300097015,124,121,70,90,29,5,457,439,18,,
1030300097016,1030300097016,85,240,2,426,80,24,859,857,2,,
1030300097017,1030300097017,0,18,13,228,48,2,331,309,22,,
1030300097018,1030300097018,16,55,11,204,22,20,366,328,38,Uso de formularios no oficiales: Llenado de resultados en documentos o formatos no aprobados por el Tribunal Supremo Electoral.,USO_FORMULARIOS_NO_OFICIALES
1030400115001,1030400115001,99,98,98,326,77,13,718,711,7,,
1030400115002,1030400115002,33,30,36,84,30,15,266,228,38,,
1030400115003,1030400115003,6,1,21,165,47,31,323,271,52,,
1030400115004,1030400115004,95,4,88,372,135,24,893,718,175,,
1030400115005,1030400115005,183,18,92,259,64,61,699,677,22,,
1030400115006,1030400115006,170,84,83,283,117,86,992,823,169,,
1030400121001,1030400121001,57,51,37,97,36,19,364,297,67,,
1030400121002,1030400121002,161,34,26,264,94,31,745,610,135,,
1030400121003,1030400121003,100,189,71,336,20,27,912,743,169,,
1030400121004,1030400121004,209,163,4,239,21,73,847,709,138,,
1040100125001,1040100125001,22,128,79,169,0,53,542,451,91,,
1040100125002,1040100125002,13,9,14,56,0,5,97,97,0,,
1040100125003,1040100125003,2,2,1,6,1,0,13,12,1,,
1040100125004,1040100125004,12,38,112,314,18,43,645,537,108,,
1040100125005,1040100125005,19,26,10,63,3,4,126,125,1,,
1040100125006,1040100125006,188,147,77,152,18,56,733,638,95,,
1040100125007,1040100125007,0,7,2,27,5,0,48,41,7,,
1040100132001,1040100132001,134,181,139,182,11,0,717,647,70,,
1040100132002,1040100132002,43,38,32,48,11,2,195,174,21,,
1040100132003,1040100132003,12,182,78,356,21,38,714,687,27,,
1040100132004,1040100132004,124,35,68,144,23,43,482,437,45,,
1040100132005,1040100132005,67,44,143,327,21,51,705,653,52,,
1040100132006,1040100132006,166,84,74,243,52,41,722,660,62,,
1040100132007,1040100132007,217,99,83,307,149,38,945,893,52,,
1040100132008,1040100132008,21,17,93,248,60,29,532,468,64,,
1040100132009,1040100132009,71,125,126,265,97,45,774,729,45,,
1040100132010,1040100132010,5,15,11,77,2,12,141,122,19,,
1040100132011,1040100132011,137,112,84,68,80,27,520,508,12,,
1040100143001,1040100143001,23,121,32,336,31,30,621,573,48,,
1040100143002,1040100143002,5,4,14,51,8,8,92,90,2,,
1040100143003,1040100143003,26,26,46,111,19,3,257,231,26,,
1040100143004,1040100143004,16,28,11,41,16,1,126,113,13,,
1040100143005,1040100143005,3,27,33,71,15,2,158,151,7,,
1040100143006,1040100143006,21,9,3,90,0,16,173,139,34,,
1040100143007,1040100143007,67,23,43,75,16,1,279,225,54,,
1040200150001,1040200150001,9,23,5,67,9,9,133,122,11,,
1040200150002,1040200150002,32,33,29,104,4,3,215,205,10,,
1040200150003,1040200150003,154,137,89,67,79,2,630,528,102,,
1040200150004,1040200150004,39,0,33,93,14,3,195,182,13,,
1040200150005,1040200150005,64,85,2,472,65,54,917,742,175,,
1040200150006,1040200150006,4,164,15,304,15,64,648,566,82,,
1040200150007,1040200150007,123,5,32,277,45,18,608,500,108,,
1040200150008,1040200150008,22,44,81,494,100,23,845,764,81,,
1040200150009,1040200150009,0,68,59,167,30,24,353,348,5,,
1040200150010,1040200150010,0,0,0,9,1,0,11,10,1,,
1040200150011,1040200150011,31,53,39,171,11,30,377,335,42,,
1040200161001,1040200161001,93,65,134,264,94,31,712,681,31,,
1040200161002,1040200161002,11,116,119,248,49,64,642,607,35,,
1040200161003,1040200161003,68,56,22,232,54,12,444,444,0,,
1040200161004,1040200161004,73,20,49,372,123,78,787,715,72,,
1040200161005,1040200161005,38,22,58,179,8,2,382,307,75,,
1040200161006,1040200161006,25,14,0,42,11,8,110,100,10,,
1040200161007,1040200161007,61,65,114,236,67,0,619,543,76,,
1040200161008,1040200161008,7,14,30,346,28,27,570,452,118,,
1040200161009,1040200161009,26,21,12,21,18,6,119,104,15,,
1040200161010,1040200161010,168,138,112,76,40,42,583,576,7,,
1040200161011,1040200161011,83,54,29,87,23,2,324,278,46,,
1040200161012,1040200161012,194,12,5,377,138,72,923,798,125,,
1040200161013,1040200161013,131,16,11,234,10,27,493,429,64,,
1040200161014,1040200161014,17,24,17,13,0,3,91,74,17,,
1040200161015,1040200161015,5,34,33,126,29,18,261,245,16,,
1040200161016,1040200161016,125,5,123,252,112,69,792,686,106,,
1040200161017,1040200161017,12,28,16,81,11,16,179,164,15,,
1040300178001,1040300178001,5,8,6,13,4,1,39,37,2,,
1040300178002,1040300178002,36,48,59,482,51,21,854,697,157,,
1040300178003,1040300178003,2,51,23,87,29,18,244,210,34,,
1040300181001,1040300181001,2,7,10,29,9,3,62,60,2,,
1040300181002,1040300181002,205,169,97,154,80,15,748,720,28,,
1040300181003,1040300181003,20,15,51,368,94,23,708,571,137,,
1040300181004,1040300181004,0,28,38,115,21,16,273,218,55,,
1040300181005,1040300181005,31,14,38,287,17,9,400,396,4,,
1040400186001,1040400186001,148,154,111,305,4,77,837,799,38,,
1040400186002,1040400186002,51,112,70,355,139,46,989,773,216,,
1040400186003,1040400186003,229,205,114,276,46,6,982,876,106,,
1040400189001,1040400189001,44,84,49,84,34,9,314,304,10,,
1040400189002,1040400189002,107,70,78,183,5,36,573,479,94,,
1040400189003,1040400189003,8,30,30,382,84,20,636,554,82,,
1040400189004,1040400189004,58,73,55,42,23,28,324,279,45,,
1040400189005,1040400189005,1,0,1,4,0,0,6,6,0,,
1040400189006,1040400189006,78,111,24,182,1,11,427,407,20,,
1040400189007,1040400189007,14,13,68,344,27,31,557,497,60,,
1040400189008,1040400189008,222,117,19,453,22,10,858,843,15,,
1040400197001,1040400197001,20,91,7,187,30,19,369,354,15,,
1040400197002,1040400197002,53,123,117,245,117,4,757,659,98,,
1040400197003,1040400197003,67,23,63,213,53,33,522,452,70,,
1040400197004,1040400197004,0,57,27,114,8,2,220,208,12,,
1040400197005,1040400197005,103,61,144,322,13,4,784,647,137,,
1040400197006,1040400197006,53,22,75,431,72,32,876,685,191,,
1040400197007,1040400197007,77,34,74,305,74,6,681,570,111,,
1040400197008,1040400197008,135,0,57,202,44,13,569,451,118,,
1040400197009,1040400197009,100,103,38,117,15,29,510,402,108,,
1040500206001,1040500206001,7,7,3,6,4,1,35,28,7,,
1040500206002,1040500206002,45,48,72,392,45,56,661,658,3,,
1040500206003,1040500206003,30,48,49,113,20,6,287,266,21,,
1040500206004,1040500206004,165,151,82,396,128,45,970,967,3,,
1040500206005,1040500206005,119,16,74,143,89,52,570,493,77,,
1040500206006,1040500206006,25,16,7,48,13,7,138,116,22,,
1040500206007,1040500206007,13,64,44,95,23,5,310,244,66,,
1040500206008,1040500206008,99,55,0,226,78,57,652,515,137,,
1040500206009,1040500206009,6,10,41,289,65,38,466,449,17,,
1040500206010,1040500206010,4,2,5,13,2,2,28,28,0,,
1040500206011,1040500206011,115,157,58,170,66,38,618,604,14,,
1040500206012,1040500206012,0,5,2,18,4,1,31,30,1,,
1060100218001,1060100218001,62,56,29,388,131,34,847,700,147,,
1060100218002,1060100218002,94,49,26,117,7,9,365,302,63,,
1060100218003,1060100218003,74,128,9,332,79,8,721,630,91,,
1060100221001,1060100221001,125,66,30,227,3,1,564,452,112,,
1060100221002,1060100221002,22,30,20,27,19,11,140,129,11,,
1060100221003,1060100221003,31,58,43,79,2,14,253,227,26,,
1060100221004,1060100221004,80,46,23,175,54,29,466,407,59,,
1060100221005,1060100221005,17,20,4,81,23,14,197,159,38,,
1060100221006,1060100221006,179,187,82,173,105,82,873,808,65,,
1060100221007,1060100221007,57,91,18,113,40,22,364,341,23,,
1060100221008,1060100221008,73,31,32,77,10,18,260,241,19,,
1060100221009,1060100221009,0,5,3,46,1,3,69,58,11,,
1060100221010,1060100221010,34,23,11,196,29,30,326,323,3,,
1060100231001,1060100231001,68,55,1,169,59,31,413,383,30,,
1060100231002,1060100231002,138,15,82,273,93,30,805,631,174,,
1060100231003,1060100231003,96,108,87,244,58,81,839,674,165,,
1060100231004,1060100231004,138,138,21,103,74,34,562,508,54,,
1060100231005,1060100231005,6,16,10,33,15,3,103,83,20,,
1060100231006,1060100231006,45,139,109,276,78,64,736,711,25,,
1060100231007,1060100231007,88,181,65,351,97,18,984,800,184,,
1060100231008,1060100231008,88,105,33,172,31,6,435,435,0,,
1060100231009,1060100231009,7,92,132,391,54,21,700,697,3,,
1060100231010,1060100231010,54,15,91,217,33,0,410,410,0,,
1060100231011,1060100231011,25,37,60,169,14,0,313,305,8,,
1060200242001,1060200242001,60,88,53,56,26,19,339,302,37,,
1060200242002,1060200242002,11,27,41,630,58,85,942,852,90,,
1060200242003,1060200242003,20,163,121,282,26,49,752,661,91,,
1060200242004,1060200242004,38,92,19,169,20,40,420,378,42,,
1060200242005,1060200242005,5,37,47,120,31,28,305,268,37,,
1060200242006,1060200242006,39,26,118,383,8,6,636,580,56,,
1060200242007,1060200242007,48,26,11,205,40,32,366,362,4,,
1060200242008,1060200242008,65,53,43,102,41,22,334,326,8,,
1060200242009,1060200242009,29,55,13,111,27,24,289,259,30,,
1060200242010,1060200242010,15,16,1,44,1,1,93,78,15,,
1060200242011,1060200242011,185,42,112,306,25,23,751,693,58,,
1060200242012,1060200242012,70,3,43,145,51,9,327,321,6,,
1060200242013,1060200242013,150,131,74,97,43,59,635,554,81,,
1060200242014,1060200242014,218,57,142,215,8,4,754,644,110,,
1060200242015,1060200242015,15,129,117,228,49,41,635,579,56,,
1060200242016,1060200242016,32,25,18,63,31,7,218,176,42,,
1060200242017,1060200242017,3,19,13,20,3,2,71,60,11,,
1060200242018,1060200242018,19,58,35,286,25,41,481,464,17,,
1060200242019,1060200242019,36,101,51,110,59,25,427,382,45,,
1060200261001,1060200261001,94,118,106,132,104,48,759,602,157,,
1060200261002,1060200261002,2,129,79,405,109,14,918,738,180,,
1060200261003,1060200261003,12,24,7,119,8,7,184,177,7,,
1060200261004,1060200261004,174,17,0,334,75,70,764,670,94,,
1060200261005,1060200261005,0,106,3,360,51,16,641,536,105,,
1060200261006,1060200261006,36,27,85,568,72,8,890,796,94,,
1060200261007,1060200261007,23,65,56,241,77,20,487,482,5,,
1060200261008,1060200261008,25,72,12,286,16,58,596,469,127,,
1060200261009,1060200261009,48,147,123,295,23,55,758,691,67,,
1070100270001,1070100270001,90,28,64,278,80,49,648,589,59,,
1070100270002,1070100270002,19,18,80,600,120,11,909,848,61,,
1070200272001,1070200272001,64,20,65,170,50,20,413,389,24,,
1070200272002,1070200272002,89,91,18,251,25,30,623,504,119,,
1070200274001,1070200274001,154,54,39,218,30,62,668,557,111,,
1070200274002,1070200274002,56,54,12,176,55,14,435,367,68,,
1070200274003,1070200274003,46,29,19,60,32,20,258,206,52,,
1070200274004,1070200274004,63,76,3,198,46,39,527,425,102,,
1070200274005,1070200274005,64,1,0,144,13,4,258,226,32,,
1070200274006,1070200274006,14,24,39,132,6,21,242,236,6,,
1070200274007,1070200274007,36,18,23,29,5,4,143,115,28,,
1070200274008,1070200274008,37,25,26,28,21,7,170,144,26,,
1070200274009,1070200274009,70,100,154,340,88,3,868,755,113,,
1070200274010,1070200274010,131,49,84,156,21,18,539,459,80,,
1070200274011,1070200274011,80,106,153,322,76,23,878,760,118,,
1070200285001,1070200285001,25,21,19,80,12,1,199,158,41,,
1070200285002,1070200285002,134,204,43,247,136,46,945,810,135,,
1070200285003,1070200285003,52,140,12,405,4,57,770,670,100,,
1070200285004,1070200285004,47,11,61,131,60,39,430,349,81,,
1070200285005,1070200285005,24,21,48,227,34,24,478,378,100,,
1070200285006,1070200285006,19,13,21,115,12,7,192,187,5,,
1070200285007,1070200285007,1,1,0,4,0,0,7,6,1,,
1070200285008,1070200285008,1,93,22,239,63,11,472,429,43,,
1070200285009,1070200285009,55,181,31,456,67,48,976,838,138,,
1070200285010,1070200285010,63,13,29,92,14,1,237,212,25,,
1070300295001,1070300295001,36,49,22,38,26,5,186,176,10,,
1070300295002,1070300295002,162,116,68,265,52,82,942,745,197,,
1070300295003,1070300295003,58,35,1,430,75,65,831,664,167,,
1070300295004,1070300295004,124,19,83,368,60,19,686,673,13,,
1070300295005,1070300295005,22,20,8,19,15,8,105,92,13,,
1070300300001,1070300300001,23,61,57,94,2,22,292,259,33,,
1070300300002,1070300300002,113,45,56,157,36,18,438,425,13,,
1070300300003,1070300300003,139,125,132,150,33,5,679,584,95,,
1070300300004,1070300300004,41,126,5,386,15,16,674,589,85,,
1070300300005,1070300300005,63,167,75,196,25,47,693,573,120,,
1070300300006,1070300300006,80,54,11,176,16,30,454,367,87,,
1070300300007,1070300300007,232,110,142,253,121,9,982,867,115,,
1070300300008,1070300300008,12,15,8,12,5,1,64,53,11,,
1070300300009,1070300300009,13,28,0,77,6,5,129,129,0,,
1070300300010,1070300300010,12,44,138,460,133,16,898,803,95,,
1070300300011,1070300300011,12,52,37,119,26,12,289,258,31,,
1070300300012,1070300300012,16,17,81,407,31,30,720,582,138,,
1070300300013,1070300300013,0,172,108,237,28,20,591,565,26,,
1070300300014,1070300300014,0,2,1,19,0,1,27,23,4,,
1070300300015,1070300300015,161,111,152,218,102,16,845,760,85,,
1070300300016,1070300300016,110,148,55,125,24,10,497,472,25,,
1070300300017,1070300300017,26,86,11,182,47,39,400,391,9,,
1070300300018,1070300300018,41,128,109,186,40,43,646,547,99,,
1070300318001,1070300318001,6,7,5,36,6,1,71,61,10,,
1070300318002,1070300318002,211,291,128,235,52,21,993,938,55,,
1070300318003,1070300318003,4,2,0,8,0,1,17,15,2,,
1070300318004,1070300318004,12,38,31,54,29,2,193,166,27,,
1070300318005,1070300318005,88,5,10,495,138,72,985,808,177,,
1070300318006,1070300318006,77,25,35,287,58,47,531,529,2,,
1070300318007,1070300318007,18,15,11,41,12,1,113,98,15,,
1070300318008,1070300318008,173,28,64,244,88,18,673,615,58,,
1070400326001,1070400326001,136,7,27,313,56,57,640,596,44,,
1070400326002,1070400326002,37,39,50,155,35,32,370,348,22,,
1070400326003,1070400326003,24,8,10,693,141,70,978,946,32,,
1070400326004,1070400326004,4,4,5,9,2,1,26,25,1,,
1070400326005,1070400326005,82,163,125,410,30,4,860,814,46,,
1070400326006,1070400326006,100,28,97,170,88,14,626,497,129,,
1070400326007,1070400326007,19,4,29,75,15,12,194,154,40,,
1070400326008,1070400326008,68,26,66,160,28,9,393,357,36,,
1070400326009,1070400326009,51,26,10,97,38,4,244,226,18,,
1070400326010,1070400326010,7,41,4,212,61,20,411,345,66,,
1070400326011,1070400326011,15,57,35,139,12,12,300,270,30,,
1070400326012,1070400326012,138,144,103,269,18,82,918,754,164,,
1070400326013,1070400326013,21,145,83,280,83,13,666,625,41,,
1070400326014,1070400326014,15,159,17,313,63,32,739,599,140,,
1070400326015,1070400326015,224,224,110,211,75,9,960,853,107,,
1070400326016,1070400326016,41,164,42,325,48,52,847,672,175,,
1070400342001,1070400342001,4,100,35,279,58,47,654,523,131,,
1070400342002,1070400342002,38,162,38,227,93,37,612,595,17,,
1070400342003,1070400342003,0,0,0,4,0,0,4,4,0,,
1070400342004,1070400342004,72,49,13,623,37,11,972,805,167,,
1070400342005,1070400342005,108,152,46,275,66,60,721,707,14,,
1070400342006,1070400342006,129,77,75,470,72,75,922,898,24,,
1070400342007,1070400342007,39,33,10,196,21,29,416,328,88,,
1090100349001,1090100349001,31,35,81,204,20,0,461,371,90,,
1090100349002,1090100349002,103,85,129,356,13,32,758,718,40,,
1090100349003,1090100349003,89,6,32,195,60,29,522,411,111,,
1090100349004,1090100349004,41,60,28,83,12,23,278,247,31,,
1090100349005,1090100349005,17,17,1,198,23,11,304,267,37,,
1090100349006,1090100349006,2,2,1,19,4,0,33,28,5,,
1090100349007,1090100349007,21,190,129,291,78,24,903,733,170,,
1090100349008,1090100349008,14,24,20,175,46,9,353,288,65,,
1090100349009,1090100349009,72,37,47,284,87,8,558,535,23,,
1090100349010,1090100349010,47,61,23,74,37,20,315,262,53,,
1090100349011,1090100349011,34,57,9,274,49,35,573,458,115,,
1090100349012,1090100349012,71,19,4,177,32,28,338,331,7,,
1090100349013,1090100349013,26,3,19,116,12,20,249,196,53,,
1090100349014,1090100349014,32,38,45,204,61,44,458,424,34,,
1090100363001,1090100363001,88,47,39,145,43,33,406,395,11,,
1090100363002,1090100363002,19,22,3,30,1,4,87,79,8,,
1090200365001,1090200365001,121,6,49,352,81,35,702,644,58,,
1090200365002,1090200365002,106,153,47,205,53,36,748,600,148,Mesa en lugar distinto: Funcionamiento de la mesa de sufragio en un recinto diferente al autorizado por la autoridad electoral.,MESA_LUGAR_DISTINTO
1090200365003,1090200365003,117,67,3,456,94,38,805,775,30,,
1090200365004,1090200365004,85,77,59,125,46,37,492,429,63,,
1090200365005,1090200365005,40,29,4,109,39,9,286,230,56,Falta de datos de apertura o cierre: Omisión de la hora exacta de inicio o finalización de la jornada electoral en el acta.,FALTA_DATOS_APERTURA_CIERRE
1090300370001,1090300370001,38,38,26,341,52,48,606,543,63,,
1090300370002,1090300370002,27,23,28,75,19,13,223,185,38,,
1090300370003,1090300370003,102,1,31,260,68,3,512,465,47,,
1090300370004,1090300370004,72,175,17,241,91,22,670,618,52,,
1090300370005,1090300370005,47,45,30,66,4,10,223,202,21,,
1090300370006,1090300370006,4,7,12,44,5,0,87,72,15,,
1090300370007,1090300370007,145,154,124,98,127,64,911,712,199,,
1090300370008,1090300370008,11,6,3,25,3,4,53,52,1,,
1090300370009,1090300370009,140,90,72,239,105,78,877,724,153,,
1090300370010,1090300370010,65,14,28,94,15,11,227,227,0,,
1090300370011,1090300370011,101,9,49,235,53,30,565,477,88,,
1090300370012,1090300370012,60,141,125,424,72,42,893,864,29,,
1090300370013,1090300370013,111,89,71,107,26,47,557,451,106,,
1090300370014,1090300370014,51,10,75,310,39,58,605,543,62,,
1090300384001,1090300384001,52,184,63,265,57,43,775,664,111,,
1090300384002,1090300384002,114,58,52,206,35,7,472,472,0,,
1090300384003,1090300384003,12,13,6,74,8,2,121,115,6,,
1090300384004,1090300384004,50,122,25,412,1,15,779,625,154,,
1090300384005,1090300384005,45,51,9,410,44,56,769,615,154,,
1090300384006,1090300384006,152,149,72,137,43,1,598,554,44,,
1090300384007,1090300384007,14,22,10,36,7,1,110,90,20,,
1090300384008,1090300384008,9,36,82,215,54,39,506,435,71,,
1090300384009,1090300384009,126,12,16,293,32,6,528,485,43,,
1090300384010,1090300384010,58,96,128,246,38,54,643,620,23,,
1090300384011,1090300384011,19,12,19,67,7,4,150,128,22,,
1090300384012,1090300384012,52,67,5,143,30,22,374,319,55,,
1090300396001,1090300396001,17,33,25,32,21,3,147,131,16,,
1090300396002,1090300396002,253,204,103,278,11,37,969,886,83,,
1090300396003,1090300396003,106,49,84,205,85,3,554,532,22,,
1090300396004,1090300396004,48,17,38,101,35,1,242,240,2,,
1090300396005,1090300396005,38,52,17,191,8,35,390,341,49,,
1100100401001,1100100401001,144,56,91,287,1,50,664,629,35,,
1100100401002,1100100401002,23,1,22,239,33,6,401,324,77,,
1100100401003,1100100401003,19,4,8,77,22,7,160,137,23,,
1100100401004,1100100401004,103,118,87,251,21,42,763,622,141,,
1100100401005,1100100401005,39,46,48,208,36,7,478,384,94,,
1100100401006,1100100401006,10,9,15,38,6,8,94,86,8,,
1100100401007,1100100401007,12,55,22,79,19,1,227,188,39,,
1100100401008,1100100401008,25,9,46,367,12,17,512,476,36,,
1100100401009,1100100401009,55,33,6,82,7,15,207,198,9,,
1100200410001,1100200410001,55,50,6,468,129,71,903,779,124,,
1100200410002,1100200410002,3,8,3,27,5,0,53,46,7,,
1100200410003,1100200410003,61,101,79,228,1,6,598,476,122,,
1100200410004,1100200410004,3,14,8,129,0,8,168,162,6,,
1100200410005,1100200410005,139,123,73,146,24,62,660,567,93,,
1100200410006,1100200410006,30,151,96,210,39,2,539,528,11,,
1100200410007,1100200410007,2,3,3,11,2,0,23,21,2,,
1100200417001,1100200417001,107,154,58,167,16,42,628,544,84,,
1100200417002,1100200417002,14,15,3,68,19,8,158,127,31,,
1100200417003,1100200417003,163,17,95,328,117,14,741,734,7,,
