CodigoTerritorial,Departamento,Provincia,Municipio,CodigoRecinto,RecintoNombre,RecintoDireccion,NumMesas,CodigoActa,NroMesa,VotantesHabilitados,PapeletasAnfora,PapeltasNoUtilizadas,P1,P2,P3,P4,VotosValidos,VotosBlancos,VotosNulos,Observaciones,,AperturaHora,AperturaMinutos,CierreHora,CierreMinutos
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027008.0,8.0,460.0,411.0,49.0,88.0,63.0,77.0,94.0,322.0,56.0,33.0,,,8.0,4.0,16.0,49.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027009.0,9.0,806.0,785.0,21.0,7.0,122.0,72.0,474.0,675.0,40.0,70.0,,,8.0,4.0,16.0,2.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027010.0,10.0,479.0,446.0,33.0,60.0,55.0,64.0,223.0,402.0,19.0,25.0,,,8.0,3.0,16.0,58.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027011.0,11.0,409.0,407.0,2.0,99.0,67.0,44.0,154.0,364.0,10.0,33.0,,,8.0,3.0,16.0,4.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027012.0,12.0,252.0,235.0,17.0,5.0,63.0,14.0,129.0,211.0,13.0,11.0,,,8.0,2.0,16.0,10.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027013.0,13.0,593.0,513.0,80.0,30.0,52.0,38.0,272.0,392.0,90.0,31.0,,,8.0,1.0,16.0,27.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027014.0,14.0,776.0,696.0,80.0,44.0,44.0,46.0,539.0,673.0,15.0,8.0,,,8.0,2.0,16.0,37.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100041.0,U.E. Patria Nueva,Zona Sud Barrio 1ro. De Mayo OTB El Palmar,4.0,1020100041001.0,1.0,762.0,735.0,27.0,113.0,146.0,126.0,297.0,682.0,24.0,29.0,,,8.0,3.0,16.0,3.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100041.0,U.E. Patria Nueva,Zona Sud Barrio 1ro. De Mayo OTB El Palmar,4.0,1020100041002.0,2.0,987.0,907.0,80.0,238.0,268.0,7.0,285.0,798.0,44.0,65.0,,,8.0,0.0,16.0,2.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100041.0,U.E. Patria Nueva,Zona Sud Barrio 1ro. De Mayo OTB El Palmar,4.0,1020100041003.0,3.0,677.0,544.0,133.0,132.0,83.0,69.0,140.0,424.0,95.0,25.0,,,8.0,4.0,16.0,10.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100041.0,U.E. Patria Nueva,Zona Sud Barrio 1ro. De Mayo OTB El Palmar,4.0,1020100041004.0,4.0,34.0,29.0,5.0,4.0,1.0,4.0,14.0,23.0,4.0,2.0,,,8.0,0.0,16.0,29.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045001.0,1.0,423.0,362.0,61.0,5.0,58.0,11.0,238.0,312.0,37.0,13.0,,,8.0,1.0,16.0,23.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045002.0,2.0,7.0,7.0,0.0,0.0,1.0,0.0,6.0,7.0,0.0,0.0,,,8.0,4.0,16.0,5.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045003.0,3.0,121.0,114.0,7.0,17.0,15.0,16.0,43.0,91.0,18.0,5.0,,,8.0,4.0,16.0,18.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045004.0,4.0,262.0,255.0,7.0,56.0,21.0,31.0,120.0,228.0,18.0,9.0,,,8.0,0.0,16.0,49.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045005.0,5.0,356.0,294.0,62.0,2.0,3.0,33.0,192.0,230.0,51.0,13.0,,,8.0,1.0,16.0,59.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045006.0,6.0,190.0,186.0,4.0,2.0,21.0,41.0,105.0,169.0,0.0,17.0,,,8.0,0.0,16.0,59.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045007.0,7.0,684.0,606.0,78.0,143.0,97.0,88.0,164.0,492.0,48.0,66.0,,,8.0,1.0,16.0,29.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045008.0,8.0,722.0,601.0,121.0,32.0,8.0,23.0,463.0,526.0,15.0,60.0,,,8.0,3.0,16.0,22.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045009.0,9.0,382.0,350.0,32.0,82.0,64.0,77.0,94.0,317.0,13.0,20.0,,,8.0,3.0,16.0,3.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045010.0,10.0,933.0,903.0,30.0,185.0,216.0,83.0,371.0,855.0,11.0,37.0,,,8.0,2.0,16.0,2.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045011.0,11.0,70.0,55.0,15.0,7.0,15.0,11.0,13.0,46.0,7.0,2.0,,,8.0,2.0,16.0,16.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045012.0,12.0,368.0,306.0,62.0,35.0,74.0,31.0,124.0,264.0,31.0,11.0,,,8.0,1.0,16.0,10.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045013.0,13.0,338.0,320.0,18.0,67.0,61.0,3.0,135.0,266.0,44.0,10.0,,,8.0,2.0,16.0,39.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045014.0,14.0,760.0,636.0,124.0,110.0,155.0,48.0,259.0,572.0,59.0,5.0,,,8.0,1.0,16.0,22.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045015.0,15.0,62.0,53.0,9.0,2.0,11.0,6.0,30.0,49.0,0.0,4.0,,,8.0,4.0,16.0,6.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045016.0,16.0,214.0,175.0,39.0,26.0,20.0,21.0,70.0,137.0,26.0,12.0,,,8.0,4.0,16.0,38.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0,1020100045017.0,17.0,79.0,74.0,5.0,9.0,19.0,9.0,20.0,57.0,11.0,6.0,,,8.0,0.0,16.0,59.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100062.0,U.E. Pedro Domingo Murillo,Chiuchi Arriba,5.0,1020100062001.0,1.0,92.0,77.0,15.0,3.0,18.0,2.0,38.0,61.0,10.0,6.0,,,8.0,1.0,16.0,12.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100062.0,U.E. Pedro Domingo Murillo,Chiuchi Arriba,5.0,1020100062002.0,2.0,893.0,871.0,22.0,0.0,149.0,2.0,585.0,736.0,105.0,30.0,,,8.0,0.0,16.0,3.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100062.0,U.E. Pedro Domingo Murillo,Chiuchi Arriba,5.0,1020100062003.0,3.0,539.0,472.0,67.0,6.0,122.0,108.0,210.0,446.0,16.0,10.0,,,8.0,3.0,16.0,20.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100062.0,U.E. Pedro Domingo Murillo,Chiuchi Arriba,5.0,1020100062004.0,4.0,131.0,127.0,4.0,30.0,3.0,7.0,80.0,120.0,2.0,5.0,,,8.0,0.0,16.0,7.0
10201.0,Chuquisaca,Azurduy,Azurduy,1020100062.0,U.E. Pedro Domingo Murillo,Chiuchi Arriba,5.0,1020100062005.0,5.0,528.0,446.0,82.0,69.0,106.0,11.0,155.0,341.0,62.0,43.0,,,8.0,2.0,16.0,18.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067001.0,1.0,587.0,502.0,85.0,123.0,146.0,32.0,161.0,462.0,31.0,9.0,,,8.0,2.0,16.0,31.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067002.0,2.0,927.0,895.0,32.0,81.0,72.0,178.0,403.0,734.0,81.0,80.0,,,8.0,0.0,16.0,6.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067003.0,3.0,144.0,133.0,11.0,31.0,3.0,4.0,63.0,101.0,21.0,11.0,,,8.0,3.0,16.0,8.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067004.0,4.0,778.0,721.0,57.0,34.0,214.0,7.0,408.0,663.0,18.0,40.0,,,8.0,0.0,16.0,0.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067005.0,5.0,880.0,809.0,71.0,46.0,162.0,152.0,294.0,654.0,105.0,50.0,,,8.0,4.0,16.0,7.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067006.0,6.0,341.0,339.0,2.0,110.0,101.0,14.0,104.0,329.0,1.0,9.0,,,8.0,1.0,16.0,24.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067007.0,7.0,606.0,605.0,1.0,174.0,35.0,126.0,203.0,538.0,7.0,60.0,,,8.0,4.0,16.0,3.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067008.0,8.0,601.0,564.0,37.0,108.0,27.0,56.0,354.0,545.0,0.0,19.0,,,8.0,3.0,16.0,46.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067009.0,9.0,405.0,390.0,15.0,114.0,10.0,43.0,211.0,378.0,6.0,6.0,,,8.0,4.0,16.0,22.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067010.0,10.0,176.0,169.0,7.0,24.0,13.0,36.0,76.0,149.0,20.0,0.0,,,8.0,2.0,16.0,4.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067011.0,11.0,959.0,873.0,86.0,135.0,95.0,158.0,363.0,751.0,35.0,87.0,,,8.0,3.0,16.0,40.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067012.0,12.0,440.0,369.0,71.0,13.0,57.0,32.0,193.0,295.0,60.0,14.0,,,8.0,2.0,16.0,42.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067013.0,13.0,621.0,619.0,2.0,60.0,28.0,90.0,360.0,538.0,39.0,42.0,,,8.0,4.0,16.0,5.0
10301.0,Chuquisaca,Zud��ez,Villa Zud��ez,1030100067.0,Unidad Educativa Molinero,Molinero,14.0,1030100067014.0,14.0,583.0,455.0,128.0,109.0,49.0,24.0,175.0,357.0,51.0,47.0,,,8.0,1.0,16.0,32.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200081.0,Colegio Pio XII,25 de Mayo entre Punata,6.0,1030200081001.0,1.0,781.0,766.0,15.0,89.0,113.0,93.0,297.0,592.0,119.0,55.0,,,8.0,2.0,16.0,16.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200081.0,Colegio Pio XII,25 de Mayo entre Punata,6.0,1030200081002.0,2.0,757.0,608.0,149.0,126.0,92.0,51.0,191.0,460.0,109.0,39.0,,,8.0,1.0,16.0,52.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200081.0,Colegio Pio XII,25 de Mayo entre Punata,6.0,1030200081003.0,3.0,347.0,303.0,44.0,62.0,35.0,54.0,106.0,257.0,33.0,13.0,,,8.0,4.0,16.0,30.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200081.0,Colegio Pio XII,25 de Mayo entre Punata,6.0,1030200081004.0,4.0,459.0,426.0,33.0,104.0,84.0,9.0,176.0,373.0,13.0,40.0,,,8.0,0.0,16.0,1.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200081.0,Colegio Pio XII,25 de Mayo entre Punata,6.0,1030200081005.0,5.0,468.0,372.0,96.0,32.0,80.0,5.0,166.0,283.0,73.0,16.0,,,8.0,2.0,16.0,44.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200081.0,Colegio Pio XII,25 de Mayo entre Punata,6.0,1030200081006.0,6.0,80.0,66.0,14.0,12.0,4.0,6.0,26.0,48.0,11.0,7.0,Mesa en lugar distinto: Funcionamiento de la mesa de sufragio en un recinto diferente al autorizado por la autoridad electoral.,,8.0,2.0,16.0,41.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200087.0,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10.0,1030200087001.0,1.0,45.0,37.0,8.0,5.0,3.0,3.0,24.0,35.0,2.0,0.0,,,8.0,2.0,16.0,30.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200087.0,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10.0,1030200087002.0,2.0,236.0,213.0,23.0,3.0,44.0,33.0,110.0,190.0,23.0,0.0,,,8.0,1.0,16.0,52.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200087.0,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10.0,1030200087003.0,3.0,788.0,651.0,137.0,161.0,101.0,70.0,176.0,508.0,125.0,18.0,,,8.0,2.0,16.0,57.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200087.0,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10.0,1030200087004.0,4.0,501.0,483.0,18.0,15.0,75.0,65.0,274.0,429.0,32.0,22.0,,,8.0,2.0,16.0,11.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200087.0,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10.0,1030200087005.0,5.0,257.0,226.0,31.0,0.0,12.0,12.0,154.0,178.0,33.0,15.0,,,8.0,1.0,16.0,43.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200087.0,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10.0,1030200087006.0,6.0,734.0,607.0,127.0,126.0,37.0,132.0,239.0,534.0,2.0,71.0,,,8.0,4.0,16.0,54.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200087.0,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10.0,1030200087007.0,7.0,276.0,224.0,52.0,24.0,60.0,27.0,72.0,183.0,26.0,15.0,,,8.0,2.0,16.0,31.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200087.0,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10.0,1030200087008.0,8.0,235.0,233.0,2.0,67.0,2.0,54.0,107.0,230.0,0.0,3.0,,,8.0,2.0,16.0,3.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200087.0,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10.0,1030200087009.0,9.0,752.0,721.0,31.0,103.0,165.0,21.0,259.0,548.0,116.0,57.0,,,8.0,0.0,16.0,8.0
10302.0,Chuquisaca,Zud��ez,Presto,1030200087.0,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10.0,1030200087010.0,10.0,37.0,37.0,0.0,6.0,3.0,3.0,22.0,34.0,3.0,0.0,,,8.0,4.0,16.0,58.0
10303.0,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097.0,Escuela Ladislao Cabrera,Chilicchi,18.0,1030300097001.0,1.0,10.0,10.0,0.0,2.0,1.0,1.0,5.0,9.0,1.0,0.0,,,8.0,0.0,16.0,38.0
10303.0,Chuquisaca,Zud��ez,Villa Mojocoya,1030300097.0,Escuela Ladislao Cabrera,Chilicchi,18.0,1030300097002.0,2.0,702.0,631.0,71.0,95.0,3.0,101.0,370.0,569.0,22.0,40.0,,,8.0,1.0,16.0,40.0
