recintoCode,CodigoTerritorial,CodigoRecinto,RecintoNombre,RecintoDireccion,NumMesas
11001.0,10601.0,1060100231.0,Centro Integral Nioo Jesus Fe y Alegria,Calle 4 y Miraflores,11.0
11002.0,10602.0,1060200242.0,U.E. Avelino Morida,Zubieta,19.0
11003.0,10602.0,1060200261.0,Nucleo Escolar Villa Granado,Villa Granado,9.0
20101.0,10701.0,1070100270.0,(Corcel) Penitenciaria San Antonio,Av. Ayacucho Frente a La Terminal,2.0
20102.0,10702.0,1070200272.0,Centro Internado Misicuni,Misicuni,2.0
20103.0,10702.0,1070200274.0,U.E. Nacional San Isidro,Zona Alto Buena Vista Otb Kasa Wasa,11.0
20104.0,10702.0,1070200285.0,U.E. Adolfo Mercado,Tacopaya,10.0
20105.0,10703.0,1070300295.0,Colegio Boliviano Argentino,Baptista y Colombia,5.0
20201.0,10703.0,1070300300.0,U.E. Bartolina Sisa,Calle Innominada,18.0
20202.0,10703.0,1070300318.0,Nucleo Escolar Villa Granado,Villa Granado,8.0
20203.0,10704.0,1070400326.0,Escuela Dr. Demetrio Canelas,Ayapampa,16.0
20204.0,10704.0,1070400342.0,Nucleo Escolar Simon Bolivar (Thiomoko),Cleomedes blanco y Atacama,7.0
20205.0,10901.0,1090100349.0,Escuela Seccional Waripucara,Waripucara,14.0
20206.0,10901.0,1090100363.0,Nucleo Escolar Laguna Grande,Laguna Grande,2.0
20301.0,10902.0,1090200365.0,U.E. Genoveva Roos,Calle Los Robles entre Av. Segunda Circunvalacion y Calle Sofocles,5.0
20302.0,10903.0,1090300370.0,Instituto Tecnologico El Paso,Avenida Elias Meneces,14.0
20303.0,10903.0,1090300384.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,12.0
20304.0,10903.0,1090300396.0,Nucleo Educativo Tipajara,Tipajara,5.0
20305.0,11001.0,1100100401.0,Unidad Educativa Waca Playa,Waca Playa,9.0
20306.0,11002.0,1100200410.0,U.E. Coracaba,Coracaba,7.0
20307.0,11002.0,1100200417.0,Unidad Educativa Iglesiani,Iglesiani,6.0
20308.0,20102.0,2010200423.0,U.E. Zenobio Gallardo,Distrito Ramadas,18.0
20401.0,20102.0,2010200441.0,U.E. Cochabamba,Calle Jordon No 236,3.0
20402.0,20104.0,2010400444.0,U.E. Combuyo,Calle de Combuyo,5.0
20403.0,20104.0,2010400449.0,Escuela Tomas Bata,Av. 12 de Enero entre martin Cardenas Y Pacheco,16.0
20404.0,20104.0,2010400465.0,Nucleo Escolar Laguna Grande,Laguna Grande,19.0
20405.0,20105.0,2010500484.0,Unidad Educativa 1ro de Mayo,Primero de Mayo,9.0
20501.0,20201.0,2020100493.0,U.E. San Miguel,Av. Ustariz S/N,2.0
20502.0,20201.0,2020100495.0,Nucleo Joso Claure (U. E. San Vicente),San Vicente,2.0
20503.0,20202.0,2020200497.0,Unidad Educativa Chaqui Mayu,Ch Aquimayu,8.0
20601.0,20202.0,2020200505.0,U.E. Avispas,Carretera Cochabamba a Santa Cruz KM/144 Sindicato Avispas,4.0
20602.0,20203.0,2020300509.0,U.E. Humberto Portocarrero,Zona Pampa San Miguel,13.0
20603.0,20203.0,2020300522.0,Instituto Eduardo Laredo,Av. Ramon Rivero,11.0
20604.0,20204.0,2020400533.0,Escuela Walter Vallejo,Av. 9 de Abril,20.0
20605.0,20206.0,2020600553.0,Escuela Gualberto Villarroel,Arani,3.0
20606.0,20206.0,2020600556.0,Unidad Educativa 1ro de Mayo,Primero de Mayo,14.0
20607.0,20206.0,2020600570.0,U.E. Lacolaconi,Lacolaconi,20.0
20608.0,20301.0,2030100590.0,Unidad Educativa La Sagrada Familia,Av. 16 de Julio,1.0
20701.0,20301.0,2030100591.0,Escuela La Estrella (San Gabriel),San Gabriel,18.0
20702.0,20302.0,2030200609.0,Unidad Educativa Ivirizu Vandiola,Ivirizu Vandiola,6.0
20801.0,20302.0,2030200615.0,Escuela Dr. Demetrio Canelas,Ayapampa,7.0
20802.0,20302.0,2030200622.0,U.E. Patria Nueva,Zona Sud Barrio 1ro. De Mayo OTB El Palmar,1.0
20803.0,20303.0,2030300623.0,Unidad Educativa Simon Bolivar (Sumunpaya),Zona Sumunpuya Sud,19.0
20804.0,20303.0,2030300642.0,Escuela Gualberto Villarroel,Arani,14.0
20805.0,20303.0,2030300656.0,U.E. Simon I. Patioo,Avenida Pairumani,5.0
20806.0,20305.0,2030500661.0,Unidad Educativa 14 de Septiembre,Calle Francisco Suarez entre Rigoberto Sains y Cesar Achaval,3.0
20807.0,20305.0,2030500664.0,U.E. Serrano,Sindicato Agrarario Serrano?Carretera Troncal Cochabamba Mizque,12.0
20901.0,20306.0,2030600676.0,Unidad Educativa Molinero,Molinero,14.0
20902.0,20307.0,2030700690.0,U.E. Abraham Flores Velasquez,Alalay,9.0
20903.0,20307.0,2030700699.0,U.E. Cuatro Esquinas,Comunidad 4 Esquinas,3.0
20904.0,20308.0,2030800702.0,U.E. Prof. Benedicto Duron Ortoz,La Florida,12.0
20905.0,20401.0,2040100714.0,U.E. Avelino Morida,Zubieta,12.0
21001.0,20401.0,2040100726.0,U.E.T.H. Mariscal Sucre,Entre Calle el Deber y Los Andes (entrada por la Av. La Resistencia),13.0
21002.0,20402.0,2040200739.0,U.E. Chillca Grande,Chillca Grande,10.0
21003.0,20403.0,2040300749.0,U.E. Rumy Corral,Comunidad Rumy Corral Centro,20.0
21004.0,20403.0,2040300769.0,Sede Social De Tipa Tipa,Tipa Tipa,13.0
21005.0,20403.0,2040300782.0,U.E. Padre Luis Diez del Pozo,Av. Zofraco,9.0
21006.0,20404.0,2040400791.0,Colegio Sebastian Pagador,Villa Sebastian Pagador Av. Machacamarca,4.0
21101.0,20405.0,2040500795.0,U.E. Madre De La Divina Providencia,Otb Villa Armonia,16.0
21102.0,20501.0,2050100811.0,Unidad Educativa Quturi,Quturi,7.0
21103.0,20501.0,2050100818.0,(Corcel) Penitenciaria San Antonio,Av. Ayacucho Frente a La Terminal,17.0
21104.0,20502.0,2050200835.0,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari),4.0
21105.0,20503.0,2050300839.0,U.E. Padre Luis Diez del Pozo,Av. Zofraco,5.0
21201.0,20503.0,2050300844.0,Rodriguez,Bolovar y 16 de Julio,17.0
21202.0,20601.0,2060100861.0,Centro Internado Misicuni,Misicuni,10.0
21203.0,20602.0,2060200871.0,Colegio Padre Andros Cuschieri,Calle Kanaut S/N,17.0
21204.0,20602.0,2060200888.0,U.E. Rumy Corral,Comunidad Rumy Corral Centro,1.0
21301.0,20602.0,2060200889.0,U. E. Titos Linde,Av. Malteria C/ Innominada a una cuadra y media del Instituto Oncologico Nacional,11.0
21302.0,20602.0,2060200900.0,U.E. Simon I. Patioo,Avenida Pairumani,9.0
21303.0,20603.0,2060300909.0,(Corcel) Penitenciaria San Sebastian Mujeres,Plaz. San Sebastion Acera Oeste,17.0
21304.0,20603.0,2060300926.0,U.E. Tocnico Humanostico San Rafael,Av. Los Molles lado Sud Posgrado Agronomia UMSS.,14.0
21305.0,20604.0,2060400940.0,U.E. Simon I. Patioo,Avenida Pairumani,8.0
21306.0,20604.0,2060400948.0,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari),1.0
21307.0,20605.0,2060500949.0,Sede Social Sombrerito,Sindicato Agrarario Sombrerito? Carretera Troncal Cochabamba Mizque,13.0
21401.0,20605.0,2060500962.0,Unidad Educativa Estados Unidos,Isiboro y Todos Santos,9.0
21402.0,20606.0,2060600971.0,Unidad Educativa Jesus Maestro,Zona Chiquicollo,6.0
21501.0,20607.0,2060700977.0,Escuela Chuou Chuoini,Chuou Chuouni,5.0
21502.0,20608.0,2060800982.0,U. E. Nuestra Seoora del Rosario,Pasaje Bolovar?Tarija,14.0
21601.0,20701.0,2070100996.0,Unidad Educativa 14 de Septiembre,Calle Francisco Suarez entre Rigoberto Sains y Cesar Achaval,13.0
21602.0,20701.0,2070101009.0,Unidad Educativa 14 de Septiembre,Calle Francisco Suarez entre Rigoberto Sains y Cesar Achaval,6.0
21701.0,20701.0,2070101015.0,Unidad Educativa Iglesiani,Iglesiani,5.0
21702.0,20701.0,2070101020.0,U.E. Prof. Benedicto Duron Ortoz,La Florida,8.0
21703.0,20801.0,2080101028.0,Unidad Educativa Nataniel Aguirre,Av Benemeritos del Chaco y Calle Walter Rocha,6.0
21801.0,20801.0,2080101034.0,Hogar Comunitario Disneylandia,Zona Sud,3.0
21802.0,20802.0,2080201037.0,U.E. Simon I. Patioo,Avenida Pairumani,9.0
21803.0,20802.0,2080201046.0,U.E. El Mirador,Zona 5 Alto Mirador,20.0
21901.0,20802.0,2080201066.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,4.0
21902.0,20803.0,2080301070.0,Escuela Seccional Waripucara,Waripucara,16.0
22001.0,20803.0,2080301086.0,U.E. Ayni Pacha,C. Santa Elena entre Av. Pisiga y C. Innominada ? OTB Alalay Alto Mirador,3.0
22002.0,20803.0,2080301089.0,Unidad Educativa El Sausalito,Santa Rosa (Colcapirhua) c/ Martin Cardenas y Oscar Alfaro,14.0
30101.0,20804.0,2080401103.0,Unidad Educativa Hno Pacifico Feletti,Villa 1o de Mayo,4.0
30201.0,20804.0,2080401107.0,Kinder San Joaquon,C. Viloma entre C. Colomi y Av. De la Fuerza Aerea,1.0
30202.0,20805.0,2080501108.0,U.E. San Francisco Javier,Zona Alto Buena Vista OTB ISIDRO,18.0
30203.0,20805.0,2080501126.0,U.E. Bartolina Sisa,Calle Innominada,2.0
30301.0,20805.0,2080501128.0,U.E. Prof. Jaime Alfonso Escalante Gutierrez,Barrio Magisterio Las Delicias,8.0
30302.0,20805.0,2080501136.0,Nucleo Educativo Chapisirca,Chapisirca,13.0
30303.0,20806.0,2080601149.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,20.0
30401.0,20807.0,2080701169.0,U.E. Avelino Morida,Zubieta,6.0
30402.0,20807.0,2080701175.0,Escuela Gualberto Villarroel,Arani,3.0
30403.0,20901.0,2090101178.0,Unidad Educativa Eje Pampa,Eje Pampa,2.0
30404.0,20901.0,2090101180.0,U.E. Rumy Corral,Comunidad Rumy Corral Centro,8.0
30501.0,20901.0,2090101188.0,Colegio Evangelico Emanuel,C. Baptista entre C. La Paz y C. J. de la Reza,5.0
30502.0,20903.0,2090301193.0,Nucleo Escolar Ismael Montes,Conda Baja,9.0
30601.0,20905.0,2090501202.0,Escuela Dr. Demetrio Canelas,Ayapampa,11.0
30602.0,21001.0,2100101213.0,U.E. Prof. Jaime Alfonso Escalante Gutierrez,Barrio Magisterio Las Delicias,7.0
30701.0,21001.0,2100101220.0,Unidad Educativa Huanacuni Grande,Huanacuni Chico,20.0
30702.0,21002.0,2100201240.0,U.E. Lacuyo,Challa,13.0
30703.0,21002.0,2100201253.0,(Corcel) Penitenciaria San Antonio,Av. Ayacucho Frente a La Terminal,19.0
30801.0,21003.0,2100301272.0,Sede Sindical De Chahuarani Chico,En la Sede de Chahuarani Chico,19.0
30802.0,21005.0,2100501291.0,U.E. Avelino Morida,Zubieta,9.0
30803.0,21006.0,2100601300.0,Colegio Padre Andros Cuschieri,Calle Kanaut S/N,8.0
30901.0,21006.0,2100601308.0,U.E. 27 de Mayo,Reno Barrientos Ortuoo,10.0
30902.0,21101.0,2110101318.0,Colegio Pio XII,25 de Mayo entre Punata,14.0
30903.0,21101.0,2110101332.0,Nucleo Escolar Ismael Montes,Conda Baja,15.0
30904.0,21102.0,2110201347.0,U.E. 14 de Septiembre,Villa 14 de Septiembre,6.0
30905.0,21103.0,2110301353.0,Escuela Cristal Mayu,Cristal Mayu,10.0
31001.0,21103.0,2110301363.0,U.E. Nacional San Isidro,Zona Alto Buena Vista Otb Kasa Wasa,10.0
31002.0,21104.0,2110401373.0,Escuela Dr. Demetrio Canelas,Ayapampa,8.0
31003.0,21104.0,2110401381.0,Unidad Educativa Quiroga,Quiroga,3.0
31101.0,21105.0,2110501384.0,U.E. Nacional San Isidro,Zona Alto Buena Vista Otb Kasa Wasa,3.0
31201.0,21201.0,2120101387.0,Colegio Padre Andros Cuschieri,Calle Kanaut S/N,12.0
31202.0,21201.0,2120101399.0,Escuela Seccional Rene Barrientos,Ventilla,2.0
31203.0,21203.0,2120301401.0,U.E. San Antonio,Comunidad San Antonio,16.0
31204.0,21203.0,2120301417.0,Centro Integral Nioo Jesus Fe y Alegria,Calle 4 y Miraflores,1.0
31205.0,21204.0,2120401418.0,U.E. San Crispin,Calle final Sucre del Municipio de Colcapirhua,17.0
31206.0,21301.0,2130101435.0,Escuela Gualberto Villarroel,Arani,8.0
31301.0,21302.0,2130201443.0,U.E. Tipa Pampa,Comunidad Tipa Pampa,1.0
31302.0,21303.0,2130301444.0,Colegio La Salle Fiscal,Av. Tiahuanaco Frente a Tronsito,14.0
31303.0,21304.0,2130401458.0,Sede Social de OTB Cerro San Miguel Alto,Calle Ayllu esquina calle Bonifacio,4.0
31401.0,21304.0,2130401462.0,Escuela Gualberto Villarroel,Arani,18.0
31402.0,21401.0,2140101480.0,U.E. Nacional San Isidro,Zona Alto Buena Vista Otb Kasa Wasa,19.0
31403.0,21401.0,2140101499.0,Unidad Educativa 1ro de Mayo,Primero de Mayo,8.0
31404.0,21402.0,2140201507.0,Unidad Educativa Daniel Salamanca,Colcapirhua,4.0
31405.0,21402.0,2140201511.0,Unidad Educativa Nataniel Aguirre,Av Benemeritos del Chaco y Calle Walter Rocha,17.0
31501.0,21501.0,2150101528.0,U.E. Simon I. Patioo,Avenida Pairumani,16.0
31601.0,21501.0,2150101544.0,Escuela Cristal Mayu,Cristal Mayu,14.0
31602.0,21501.0,2150101558.0,Escuela Ladislao Cabrera,Chilicchi,7.0
40101.0,21502.0,2150201565.0,Unidad Educativa de La Fuerza Aerea,Av de La Fuerza Aerea entre Calle Cap. Luis Garcia y Moto Mendez,10.0
40102.0,21502.0,2150201575.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,1.0
40103.0,21601.0,2160101576.0,Colegio Boliviano Argentino,Baptista y Colombia,1.0
40104.0,21601.0,2160101577.0,U.E. Vilomilla,Vilomilla,20.0
40201.0,21601.0,2160101597.0,Instituto Tecnologico El Paso,Avenida Elias Meneces,20.0
40202.0,21601.0,2160101617.0,Venezuela,Liceo Adela Zamudio,7.0
40301.0,21602.0,2160201624.0,Escuela Monseoor Angel Gelmi,Tita Gallo,6.0
40302.0,21702.0,2170201630.0,Unidad Educativa Molinero,Molinero,15.0
40401.0,21703.0,2170301645.0,Colegio Boliviano Argentino,Baptista y Colombia,14.0
40402.0,21703.0,2170301659.0,Sede Social de OTB Cerro San Miguel Alto,Calle Ayllu esquina calle Bonifacio,20.0
40501.0,21801.0,2180101679.0,Escuela Ladislao Cabrera,Chilicchi,3.0
40502.0,21801.0,2180101682.0,U.E. Pedro Domingo Murillo,Chiuchi Arriba,3.0
40503.0,21802.0,2180201685.0,U.E. Zenobio Gallardo,Distrito Ramadas,2.0
40504.0,21803.0,2180301687.0,Unidad Educativa Molinero,Molinero,18.0
40505.0,21902.0,2190201705.0,U.E. Avelino Morida,Zubieta,12.0
40601.0,22002.0,2200201717.0,Colegio Evangelico Emanuel,C. Baptista entre C. La Paz y C. J. de la Reza,11.0
40602.0,22002.0,2200201728.0,U.E. El Paso A,Zona Central El Paso,3.0
40603.0,22002.0,2200201731.0,Escuela Ladislao Cabrera,Chilicchi,19.0
40701.0,30201.0,3020101750.0,Escuela Ladislao Cabrera,Chilicchi,11.0
40702.0,30202.0,3020201761.0,Colegio Pedro Ignacio Rivero,Mizque,15.0
40801.0,30202.0,3020201776.0,Escuela Ladislao Cabrera,Chilicchi,17.0
40802.0,30202.0,3020201793.0,Unidad Educativa Bolivia (La Maica),La Maica Central,19.0
40901.0,30203.0,3020301812.0,(Corcel) Penitenciaria San Antonio,Av. Ayacucho Frente a La Terminal,8.0
40902.0,30302.0,3030201820.0,Unidad Educativa Santiago,Achandara y Calle Imnominada,6.0
40903.0,30302.0,3030201826.0,Escuela Ladislao Cabrera,Chilicchi,10.0
41001.0,30302.0,3030201836.0,Unidad Educativa Moleto Icoya (V.Tunari),Moleto,15.0
41101.0,30303.0,3030301851.0,U.E. Israel,Zona Villa Israel,19.0
41201.0,30401.0,3040101870.0,Unidad Educativa Estados Unidos,Isiboro y Todos Santos,10.0
41202.0,30401.0,3040101880.0,Unidad Educativa Antonio Diez,Itocta,8.0
41301.0,30402.0,3040201888.0,Escuela Eugenia Ravasco,Av. Esperanza?Rumi Mayu (Tiquipaya),2.0
41401.0,30403.0,3040301890.0,Unidad Educativa Panama,Panamo,5.0
41501.0,30501.0,3050101895.0,Colegio Franz Tamayo,Calle Rafael Pavon entre Av,2.0
41502.0,30501.0,3050101897.0,Colegio La Salle Fiscal,Av. Tiahuanaco Frente a Tronsito,11.0
41503.0,30501.0,3050101908.0,Colegio Franz Tamayo,Calle Rafael Pavon entre Av,12.0
41601.0,30602.0,3060201920.0,Unidad Educativa Domingo Savio (Ex Lorenzo Filho),Av. Aniceto Arce Nro 804 entre N. Morales,13.0
50101.0,30702.0,3070201933.0,Kinder San Joaquon,C. Viloma entre C. Colomi y Av. De la Fuerza Aerea,3.0
50102.0,30702.0,3070201936.0,Unidad Educativa Antonio Diez,Itocta,5.0
50103.0,30702.0,3070201941.0,Unidad Educativa Thago Thago,Thago Thago,15.0
50104.0,30702.0,3070201956.0,Hogar Comunitario Disneylandia,Zona Sud,19.0
50201.0,30801.0,3080101975.0,Escuela Melchor Cuadros,Av. Pairumani?Vinto,9.0
50202.0,30801.0,3080101984.0,Colegio Pio XII,25 de Mayo entre Punata,7.0
50203.0,30801.0,3080101991.0,Unidad Educativa Tocopilla,Tocopilla,12.0
50204.0,30802.0,3080202003.0,U.E. San Antonio,Comunidad San Antonio,7.0
50301.0,30803.0,3080302010.0,Centro de Atencion Al Turista,Incallajta,20.0
50302.0,30901.0,3090102030.0,Unidad Educativa Club De Leones,Circunvalacion 375 Enrique Arce,19.0
50303.0,30901.0,3090102049.0,Unidad Educativa Central Villa Pereira,Villa Pereira,2.0
50401.0,30902.0,3090202051.0,Escuela Manuel De Ugarte,Aiquile,17.0
50402.0,30903.0,3090302068.0,Escuela Gualberto Villarroel,Arani,4.0
50403.0,30903.0,3090302072.0,Unidad Educativa Iglesiani,Iglesiani,3.0
50404.0,31001.0,3100102075.0,U.E. Prof. Benedicto Duron Ortoz,La Florida,1.0
50405.0,31001.0,3100102076.0,U.E. Tiquirani,OTB Tiquirani,20.0
50501.0,31002.0,3100202096.0,Escuela Ladislao Cabrera,Chilicchi,8.0
50502.0,31002.0,3100202104.0,Unidad Educativa Jesus Maestro,Zona Chiquicollo,12.0
50601.0,31002.0,3100202116.0,Unidad Educativa Ramadas,La Ramada,13.0
50602.0,31003.0,3100302129.0,Unidad Educativa Eje Pampa,Eje Pampa,10.0
50701.0,31003.0,3100302139.0,U.E. Joso Carlos Carrillo,Comunidad Tirani?Final Av. Atahuallpa segunda circunvalacion,20.0
50702.0,31101.0,3110102159.0,Unidad Educativa Domingo Savio (Ex Lorenzo Filho),Av. Aniceto Arce Nro 804 entre N. Morales,11.0
50801.0,31202.0,3120202170.0,Unidad Educativa Libertad,C/ Porvenir y C/ Mejillones,20.0
50802.0,31202.0,3120202190.0,Colegio Franz Tamayo,Calle Rafael Pavon entre Av,9.0
50901.0,31202.0,3120202199.0,Nucleo Escolar Ismael Montes,Conda Baja,10.0
50902.0,31203.0,3120302209.0,Escuela Fiscal Juan XXIII A,Av. Guido Brault Omi y Mons. Francisco Cano,5.0
51001.0,31203.0,3120302214.0,Sede Social de OTB Cerro San Miguel Alto,Calle Ayllu esquina calle Bonifacio,9.0
51002.0,31204.0,3120402223.0,Escuela Aguada,Aguada,18.0
51003.0,31205.0,3120502241.0,U.E. Chillca Grande,Chillca Grande,5.0
51101.0,31206.0,3120602246.0,Unidad Educativa Chaqui Mayu,Ch Aquimayu,17.0
51102.0,31301.0,3130102263.0,Unidad Educativa Chaqui Mayu,Ch Aquimayu,13.0
51103.0,31303.0,3130302276.0,Unidad Educativa Rosendo Peoa,OTB Urbanizacion PIL Sarcobamba Calle Luis Zegarra entre Luis Montaoo y Jorge Udaeta,1.0
51201.0,31401.0,3140102277.0,Sede Sindical Yajo Pampa,Comunidad Yajo Pampa,20.0
51202.0,31402.0,3140202297.0,Unidad Educativa Panama,Panamo,16.0
51203.0,31402.0,3140202313.0,Instituto Tecnologico El Paso,Avenida Elias Meneces,7.0
51301.0,31402.0,3140202320.0,Unidad Educativa Estados Unidos,Isiboro y Todos Santos,13.0
51302.0,31402.0,3140202333.0,U.E. Simon I. Patioo,Avenida Pairumani,18.0
51401.0,31403.0,3140302351.0,Escuela Seccional Waripucara,Waripucara,12.0
51402.0,31404.0,3140402363.0,U.E. Prof. Jaime Alfonso Escalante Gutierrez,Barrio Magisterio Las Delicias,17.0
51501.0,31405.0,3140502380.0,U.E. San Francisco Javier,Zona Alto Buena Vista OTB ISIDRO,16.0
51601.0,31405.0,3140502396.0,Escuela Dr. Demetrio Canelas,Ayapampa,8.0
60101.0,31501.0,3150102404.0,U.E. San Francisco Javier,Zona Alto Buena Vista OTB ISIDRO,1.0
60201.0,31601.0,3160102405.0,Escuela Chuou Chuoini,Chuou Chuouni,12.0
60202.0,31601.0,3160102417.0,U.E. Serrano,Sindicato Agrarario Serrano?Carretera Troncal Cochabamba Mizque,16.0
60301.0,31602.0,3160202433.0,Unidad Educativa El Sausalito,Santa Rosa (Colcapirhua) c/ Martin Cardenas y Oscar Alfaro,10.0
60302.0,31602.0,3160202443.0,Centro Internado Misicuni,Misicuni,11.0
60303.0,40101.0,4010102454.0,Unidad Educativa Ramadas,La Ramada,16.0
60401.0,40101.0,4010102470.0,U.E. Tocnico Humanostico San Rafael,Av. Los Molles lado Sud Posgrado Agronomia UMSS.,17.0
60402.0,40102.0,4010202487.0,Nucleo Escolar Beta Raqay Pampa,Raqay Pampa,17.0
60501.0,40103.0,4010302504.0,Unidad Educativa Nataniel Aguirre,Av Benemeritos del Chaco y Calle Walter Rocha,12.0
60502.0,40103.0,4010302516.0,Unidad Educativa Kewioal,Qhewioal,9.0
60601.0,40201.0,4020102525.0,Nucleo Escolar Simon Bolivar (Thiomoko),Cleomedes blanco y Atacama,3.0
70101.0,40201.0,4020102528.0,U.E. Lacolaconi,Lacolaconi,17.0
70102.0,40202.0,4020202545.0,U.E. Jose Nabo Quintana Navia,Calle Cochabamba frente a la capilla Virgen de Guadalupe,6.0
70103.0,40301.0,4030102551.0,U.E. El Paso A,Zona Central El Paso,7.0
70104.0,40301.0,4030102558.0,Colegio La Salle,Junon y Mayor Rocha,19.0
70105.0,40301.0,4030102577.0,U.E. Prof. Jaime Alfonso Escalante Gutierrez,Barrio Magisterio Las Delicias,6.0
70201.0,40302.0,4030202583.0,Nucleo Escolar Beta Raqay Pampa,Raqay Pampa,18.0
70202.0,40401.0,4040102601.0,Centro de Atencion Al Turista,Incallajta,18.0
70301.0,40401.0,4040102619.0,Unidad Educativa Libertad,C/ Porvenir y C/ Mejillones,7.0
70302.0,40401.0,4040102626.0,U.E. 14 de Septiembre,Villa 14 de Septiembre,14.0
70303.0,40501.0,4050102640.0,Escuela Manuel De Ugarte,Aiquile,3.0
70401.0,40501.0,4050102643.0,Unidad Educativa Atiy,Por San Isidro,3.0
70402.0,40503.0,4050302646.0,Unidad Educativa Sagrada Familia,Vinto,19.0
70403.0,40504.0,4050402665.0,Unidad Educativa Keraya,Keraya,20.0
70404.0,40505.0,4050502685.0,Nucleo Escolar Beta Raqay Pampa,Raqay Pampa,2.0
70501.0,40601.0,4060102687.0,Unidad Educativa La Sagrada Familia,Av. 16 de Julio,1.0
70502.0,40601.0,4060102688.0,U.E. San Miguel,Av. Ustariz S/N,15.0
70503.0,40602.0,4060202703.0,U.E. Combuyo,Calle de Combuyo,20.0
70601.0,40603.0,4060302723.0,U.E. San Crispin,Calle final Sucre del Municipio de Colcapirhua,4.0
70602.0,40701.0,4070102727.0,Unidad Educativa de La Fuerza Aerea,Av de La Fuerza Aerea entre Calle Cap. Luis Garcia y Moto Mendez,11.0
70603.0,40801.0,4080102738.0,U.E.T.H. Mariscal Sucre,Entre Calle el Deber y Los Andes (entrada por la Av. La Resistencia),11.0
70701.0,40802.0,4080202749.0,U.E. El Mirador,Zona 5 Alto Mirador,15.0
70702.0,40901.0,4090102764.0,Colegio Padre Andros Cuschieri,Calle Kanaut S/N,16.0
70703.0,40902.0,4090202780.0,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari),13.0
70704.0,40902.0,4090202793.0,Sede Social De Tipa Tipa,Tipa Tipa,19.0
70705.0,40903.0,4090302812.0,Colegio San Miguel (Tiquipaya),C/T. Torrico?C.Beni,20.0
