CodigoRecinto,CodigoActa,NroMesa,VotantesHabilitados
1040100132.0,1040100132002.0,2.0,195.0
1040100132.0,1040100132003.0,3.0,714.0
1040100132.0,1040100132004.0,4.0,482.0
1040100132.0,1040100132005.0,5.0,705.0
1040100132.0,1040100132006.0,6.0,722.0
1040100132.0,1040100132007.0,7.0,945.0
1040100132.0,1040100132008.0,8.0,532.0
1040100132.0,1040100132009.0,9.0,774.0
1040100132.0,1040100132010.0,10.0,141.0
1040100132.0,1040100132011.0,11.0,520.0
1040100143.0,1040100143001.0,1.0,621.0
1040100143.0,1040100143002.0,2.0,92.0
1040100143.0,1040100143003.0,3.0,257.0
1040100143.0,1040100143004.0,4.0,126.0
1040100143.0,1040100143005.0,5.0,158.0
1040100143.0,1040100143006.0,6.0,173.0
1040100143.0,1040100143007.0,7.0,279.0
1040200150.0,1040200150001.0,1.0,133.0
1040200150.0,1040200150002.0,2.0,215.0
1040200150.0,1040200150003.0,3.0,630.0
1040200150.0,1040200150004.0,4.0,195.0
1040200150.0,1040200150005.0,5.0,917.0
1040200150.0,1040200150006.0,6.0,648.0
1040200150.0,1040200150007.0,7.0,608.0
1040200150.0,1040200150008.0,8.0,845.0
1040200150.0,1040200150009.0,9.0,353.0
1040200150.0,1040200150010.0,10.0,11.0
1040200150.0,1040200150011.0,11.0,377.0
1040200161.0,1040200161001.0,1.0,712.0
1040200161.0,1040200161002.0,2.0,642.0
1040200161.0,1040200161003.0,3.0,444.0
1040200161.0,1040200161004.0,4.0,787.0
1040200161.0,1040200161005.0,5.0,382.0
1040200161.0,1040200161006.0,6.0,110.0
1040200161.0,1040200161007.0,7.0,619.0
1040200161.0,1040200161008.0,8.0,570.0
1040200161.0,1040200161009.0,9.0,119.0
1040200161.0,1040200161010.0,10.0,583.0
1040200161.0,1040200161011.0,11.0,324.0
1040200161.0,1040200161012.0,12.0,923.0
1040200161.0,1040200161013.0,13.0,493.0
1040200161.0,1040200161014.0,14.0,91.0
1040200161.0,1040200161015.0,15.0,261.0
1040200161.0,1040200161016.0,16.0,792.0
1040200161.0,1040200161017.0,17.0,179.0
1040300178.0,1040300178001.0,1.0,39.0
1040300178.0,1040300178002.0,2.0,854.0
1040300178.0,1040300178003.0,3.0,244.0
1040300181.0,1040300181001.0,1.0,62.0
1040300181.0,1040300181002.0,2.0,748.0
1040300181.0,1040300181003.0,3.0,708.0
1040300181.0,1040300181004.0,4.0,273.0
1040300181.0,1040300181005.0,5.0,400.0
1040400186.0,1040400186001.0,1.0,837.0
1040400186.0,1040400186002.0,2.0,989.0
1040400186.0,1040400186003.0,3.0,982.0
1040400189.0,1040400189001.0,1.0,314.0
1040400189.0,1040400189002.0,2.0,573.0
1040400189.0,1040400189003.0,3.0,636.0
1040400189.0,1040400189004.0,4.0,324.0
1040400189.0,1040400189005.0,5.0,6.0
1040400189.0,1040400189006.0,6.0,427.0
1040400189.0,1040400189007.0,7.0,557.0
1040400189.0,1040400189008.0,8.0,858.0
1040400197.0,1040400197001.0,1.0,369.0
1040400197.0,1040400197002.0,2.0,757.0
1040400197.0,1040400197003.0,3.0,522.0
1040400197.0,1040400197004.0,4.0,220.0
1040400197.0,1040400197005.0,5.0,784.0
1040400197.0,1040400197006.0,6.0,876.0
1040400197.0,1040400197007.0,7.0,681.0
1040400197.0,1040400197008.0,8.0,569.0
1040400197.0,1040400197009.0,9.0,510.0
1040500206.0,1040500206001.0,1.0,35.0
1040500206.0,1040500206002.0,2.0,661.0
1040500206.0,1040500206003.0,3.0,287.0
1040500206.0,1040500206004.0,4.0,970.0
1040500206.0,1040500206005.0,5.0,570.0
1040500206.0,1040500206006.0,6.0,138.0
1040500206.0,1040500206007.0,7.0,310.0
1040500206.0,1040500206008.0,8.0,652.0
1040500206.0,1040500206009.0,9.0,466.0
1040500206.0,1040500206010.0,10.0,28.0
1040500206.0,1040500206011.0,11.0,618.0
1040500206.0,1040500206012.0,12.0,31.0
1060100218.0,1060100218001.0,1.0,847.0
1060100218.0,1060100218002.0,2.0,365.0
1060100218.0,1060100218003.0,3.0,721.0
1060100221.0,1060100221001.0,1.0,564.0
1060100221.0,1060100221002.0,2.0,140.0
1060100221.0,1060100221003.0,3.0,253.0
1060100221.0,1060100221004.0,4.0,466.0
1060100221.0,1060100221005.0,5.0,197.0
1060100221.0,1060100221006.0,6.0,873.0
1060100221.0,1060100221007.0,7.0,364.0
1060100221.0,1060100221008.0,8.0,260.0
1060100221.0,1060100221009.0,9.0,69.0
1060100221.0,1060100221010.0,10.0,326.0
1060100231.0,1060100231001.0,1.0,413.0
1060100231.0,1060100231002.0,2.0,805.0
1060100231.0,1060100231003.0,3.0,839.0
1060100231.0,1060100231004.0,4.0,562.0
1060100231.0,1060100231005.0,5.0,103.0
1060100231.0,1060100231006.0,6.0,736.0
1060100231.0,1060100231007.0,7.0,984.0
1060100231.0,1060100231008.0,8.0,435.0
1060100231.0,1060100231009.0,9.0,700.0
1060100231.0,1060100231010.0,10.0,410.0
1060100231.0,1060100231011.0,11.0,313.0
1060200242.0,1060200242001.0,1.0,339.0
1060200242.0,1060200242002.0,2.0,942.0
1060200242.0,1060200242003.0,3.0,752.0
1060200242.0,1060200242004.0,4.0,420.0
1060200242.0,1060200242005.0,5.0,305.0
1060200242.0,1060200242006.0,6.0,636.0
1060200242.0,1060200242007.0,7.0,366.0
1060200242.0,1060200242008.0,8.0,334.0
1060200242.0,1060200242009.0,9.0,289.0
1060200242.0,1060200242010.0,10.0,93.0
1060200242.0,1060200242011.0,11.0,751.0
1060200242.0,1060200242012.0,12.0,327.0
1060200242.0,1060200242013.0,13.0,635.0
1060200242.0,1060200242014.0,14.0,754.0
1060200242.0,1060200242015.0,15.0,635.0
1060200242.0,1060200242016.0,16.0,218.0
1060200242.0,1060200242017.0,17.0,71.0
1060200242.0,1060200242018.0,18.0,481.0
1060200242.0,1060200242019.0,19.0,427.0
1060200261.0,1060200261001.0,1.0,759.0
1060200261.0,1060200261002.0,2.0,918.0
1060200261.0,1060200261003.0,3.0,184.0
1060200261.0,1060200261004.0,4.0,764.0
1060200261.0,1060200261005.0,5.0,641.0
1060200261.0,1060200261006.0,6.0,890.0
1060200261.0,1060200261007.0,7.0,487.0
1060200261.0,1060200261008.0,8.0,596.0
1060200261.0,1060200261009.0,9.0,758.0
1070100270.0,1070100270001.0,1.0,648.0
1070100270.0,1070100270002.0,2.0,909.0
1070200272.0,1070200272001.0,1.0,413.0
1070200272.0,1070200272002.0,2.0,623.0
1070200274.0,1070200274001.0,1.0,668.0
1070200274.0,1070200274002.0,2.0,435.0
1070200274.0,1070200274003.0,3.0,258.0
1070200274.0,1070200274004.0,4.0,527.0
1070200274.0,1070200274005.0,5.0,258.0
1070200274.0,1070200274006.0,6.0,242.0
1070200274.0,1070200274007.0,7.0,143.0
1070200274.0,1070200274008.0,8.0,170.0
1070200274.0,1070200274009.0,9.0,868.0
1070200274.0,1070200274010.0,10.0,539.0
1070200274.0,1070200274011.0,11.0,878.0
1070200285.0,1070200285001.0,1.0,199.0
1070200285.0,1070200285002.0,2.0,945.0
1070200285.0,1070200285003.0,3.0,770.0
1070200285.0,1070200285004.0,4.0,430.0
1070200285.0,1070200285005.0,5.0,478.0
1070200285.0,1070200285006.0,6.0,192.0
1070200285.0,1070200285007.0,7.0,7.0
1070200285.0,1070200285008.0,8.0,472.0
1070200285.0,1070200285009.0,9.0,976.0
1070200285.0,1070200285010.0,10.0,237.0
1070300295.0,1070300295001.0,1.0,186.0
1070300295.0,1070300295002.0,2.0,942.0
1070300295.0,1070300295003.0,3.0,831.0
1070300295.0,1070300295004.0,4.0,686.0
1070300295.0,1070300295005.0,5.0,105.0
1070300300.0,1070300300001.0,1.0,292.0
1070300300.0,1070300300002.0,2.0,438.0
1070300300.0,1070300300003.0,3.0,679.0
1070300300.0,1070300300004.0,4.0,674.0
1070300300.0,1070300300005.0,5.0,693.0
1070300300.0,1070300300006.0,6.0,454.0
1070300300.0,1070300300007.0,7.0,982.0
1070300300.0,1070300300008.0,8.0,64.0
1070300300.0,1070300300009.0,9.0,129.0
1070300300.0,1070300300010.0,10.0,898.0
1070300300.0,1070300300011.0,11.0,289.0
1070300300.0,1070300300012.0,12.0,720.0
1070300300.0,1070300300013.0,13.0,591.0
1070300300.0,1070300300014.0,14.0,27.0
1070300300.0,1070300300015.0,15.0,845.0
1070300300.0,1070300300016.0,16.0,497.0
1070300300.0,1070300300017.0,17.0,400.0
1070300300.0,1070300300018.0,18.0,646.0
1070300318.0,1070300318001.0,1.0,71.0
1070300318.0,1070300318002.0,2.0,993.0
1070300318.0,1070300318003.0,3.0,17.0
1070300318.0,1070300318004.0,4.0,193.0
1070300318.0,1070300318005.0,5.0,985.0
1070300318.0,1070300318006.0,6.0,531.0
1070300318.0,1070300318007.0,7.0,113.0
1070300318.0,1070300318008.0,8.0,673.0
1070400326.0,1070400326001.0,1.0,640.0
1070400326.0,1070400326002.0,2.0,370.0
1070400326.0,1070400326003.0,3.0,978.0
1070400326.0,1070400326004.0,4.0,26.0
1070400326.0,1070400326005.0,5.0,860.0
1070400326.0,1070400326006.0,6.0,626.0
1070400326.0,1070400326007.0,7.0,194.0
1070400326.0,1070400326008.0,8.0,393.0
1070400326.0,1070400326009.0,9.0,244.0
1070400326.0,1070400326010.0,10.0,411.0
1070400326.0,1070400326011.0,11.0,300.0
1070400326.0,1070400326012.0,12.0,918.0
1070400326.0,1070400326013.0,13.0,666.0
1070400326.0,1070400326014.0,14.0,739.0
1070400326.0,1070400326015.0,15.0,960.0
1070400326.0,1070400326016.0,16.0,847.0
1070400342.0,1070400342001.0,1.0,654.0
1070400342.0,1070400342002.0,2.0,612.0
1070400342.0,1070400342003.0,3.0,4.0
1070400342.0,1070400342004.0,4.0,972.0
1070400342.0,1070400342005.0,5.0,721.0
1070400342.0,1070400342006.0,6.0,922.0
1070400342.0,1070400342007.0,7.0,416.0
1090100349.0,1090100349001.0,1.0,461.0
1090100349.0,1090100349002.0,2.0,758.0
1090100349.0,1090100349003.0,3.0,522.0
1090100349.0,1090100349004.0,4.0,278.0
1090100349.0,1090100349005.0,5.0,304.0
1090100349.0,1090100349006.0,6.0,33.0
1090100349.0,1090100349007.0,7.0,903.0
1090100349.0,1090100349008.0,8.0,353.0
1090100349.0,1090100349009.0,9.0,558.0
1090100349.0,1090100349010.0,10.0,315.0
1090100349.0,1090100349011.0,11.0,573.0
1090100349.0,1090100349012.0,12.0,338.0
1090100349.0,1090100349013.0,13.0,249.0
1090100349.0,1090100349014.0,14.0,458.0
1090100363.0,1090100363001.0,1.0,406.0
1090100363.0,1090100363002.0,2.0,87.0
1090200365.0,1090200365001.0,1.0,702.0
1090200365.0,1090200365002.0,2.0,748.0
1090200365.0,1090200365003.0,3.0,805.0
1090200365.0,1090200365004.0,4.0,492.0
1090200365.0,1090200365005.0,5.0,286.0
1090300370.0,1090300370001.0,1.0,606.0
1090300370.0,1090300370002.0,2.0,223.0
1090300370.0,1090300370003.0,3.0,512.0
1090300370.0,1090300370004.0,4.0,670.0
1090300370.0,1090300370005.0,5.0,223.0
1090300370.0,1090300370006.0,6.0,87.0
1090300370.0,1090300370007.0,7.0,911.0
1090300370.0,1090300370008.0,8.0,53.0
1090300370.0,1090300370009.0,9.0,877.0
1090300370.0,1090300370010.0,10.0,227.0
1090300370.0,1090300370011.0,11.0,565.0
1090300370.0,1090300370012.0,12.0,893.0
1090300370.0,1090300370013.0,13.0,557.0
1090300370.0,1090300370014.0,14.0,605.0
1090300384.0,1090300384001.0,1.0,775.0
1090300384.0,1090300384002.0,2.0,472.0
1090300384.0,1090300384003.0,3.0,121.0
1090300384.0,1090300384004.0,4.0,779.0
1090300384.0,1090300384005.0,5.0,769.0
1090300384.0,1090300384006.0,6.0,598.0
1090300384.0,1090300384007.0,7.0,110.0
1090300384.0,1090300384008.0,8.0,506.0
1090300384.0,1090300384009.0,9.0,528.0
1090300384.0,1090300384010.0,10.0,643.0
1090300384.0,1090300384011.0,11.0,150.0
1090300384.0,1090300384012.0,12.0,374.0
1090300396.0,1090300396001.0,1.0,147.0
1090300396.0,1090300396002.0,2.0,969.0
1090300396.0,1090300396003.0,3.0,554.0
1090300396.0,1090300396004.0,4.0,242.0
1090300396.0,1090300396005.0,5.0,390.0
1100100401.0,1100100401001.0,1.0,664.0
1100100401.0,1100100401002.0,2.0,401.0
1100100401.0,1100100401003.0,3.0,160.0
1100100401.0,1100100401004.0,4.0,763.0
1100100401.0,1100100401005.0,5.0,478.0
1100100401.0,1100100401006.0,6.0,94.0
1100100401.0,1100100401007.0,7.0,227.0
1100100401.0,1100100401008.0,8.0,512.0
1100100401.0,1100100401009.0,9.0,207.0
1100200410.0,1100200410001.0,1.0,903.0
1100200410.0,1100200410002.0,2.0,53.0
1100200410.0,1100200410003.0,3.0,598.0
1100200410.0,1100200410004.0,4.0,168.0
1100200410.0,1100200410005.0,5.0,660.0
1100200410.0,1100200410006.0,6.0,539.0
1100200410.0,1100200410007.0,7.0,23.0
1100200417.0,1100200417001.0,1.0,628.0
1100200417.0,1100200417002.0,2.0,158.0
1100200417.0,1100200417003.0,3.0,741.0
1100200417.0,1100200417004.0,4.0,550.0
1100200417.0,1100200417005.0,5.0,643.0
1100200417.0,1100200417006.0,6.0,359.0
2010200423.0,2010200423001.0,1.0,251.0
2010200423.0,2010200423002.0,2.0,229.0
2010200423.0,2010200423003.0,3.0,20.0
2010200423.0,2010200423004.0,4.0,968.0
2010200423.0,2010200423005.0,5.0,868.0
2010200423.0,2010200423006.0,6.0,758.0
2010200423.0,2010200423007.0,7.0,53.0
2010200423.0,2010200423008.0,8.0,788.0
2010200423.0,2010200423009.0,9.0,123.0
2010200423.0,2010200423010.0,10.0,892.0
2010200423.0,2010200423011.0,11.0,204.0
2010200423.0,2010200423012.0,12.0,640.0
2010200423.0,2010200423013.0,13.0,69.0
2010200423.0,2010200423014.0,14.0,118.0
2010200423.0,2010200423015.0,15.0,223.0
2010200423.0,2010200423016.0,16.0,935.0
2010200423.0,2010200423017.0,17.0,789.0
2010200423.0,2010200423018.0,18.0,336.0
2010200441.0,2010200441001.0,1.0,898.0
2010200441.0,2010200441002.0,2.0,457.0
2010200441.0,2010200441003.0,3.0,734.0
2010400444.0,2010400444001.0,1.0,190.0
2010400444.0,2010400444002.0,2.0,980.0
2010400444.0,2010400444003.0,3.0,341.0
2010400444.0,2010400444004.0,4.0,812.0
2010400444.0,2010400444005.0,5.0,359.0
2010400449.0,2010400449001.0,1.0,673.0
2010400449.0,2010400449002.0,2.0,569.0
2010400449.0,2010400449003.0,3.0,755.0
2010400449.0,2010400449004.0,4.0,135.0
2010400449.0,2010400449005.0,5.0,616.0
2010400449.0,2010400449006.0,6.0,67.0
2010400449.0,2010400449007.0,7.0,803.0
2010400449.0,2010400449008.0,8.0,661.0
2010400449.0,2010400449009.0,9.0,468.0
2010400449.0,2010400449010.0,10.0,94.0
2010400449.0,2010400449011.0,11.0,168.0
2010400449.0,2010400449012.0,12.0,359.0
2010400449.0,2010400449013.0,13.0,191.0
2010400449.0,2010400449014.0,14.0,525.0
2010400449.0,2010400449015.0,15.0,19.0
2010400449.0,2010400449016.0,16.0,556.0
2010400465.0,2010400465001.0,1.0,555.0
2010400465.0,2010400465002.0,2.0,961.0
2010400465.0,2010400465003.0,3.0,323.0
2010400465.0,2010400465004.0,4.0,521.0
2010400465.0,2010400465005.0,5.0,768.0
2010400465.0,2010400465006.0,6.0,650.0
2010400465.0,2010400465007.0,7.0,833.0
2010400465.0,2010400465008.0,8.0,180.0
2010400465.0,2010400465009.0,9.0,843.0
2010400465.0,2010400465010.0,10.0,993.0
2010400465.0,2010400465011.0,11.0,960.0
2010400465.0,2010400465012.0,12.0,535.0
2010400465.0,2010400465013.0,13.0,110.0
2010400465.0,2010400465014.0,14.0,562.0
2010400465.0,2010400465015.0,15.0,916.0
2010400465.0,2010400465016.0,16.0,220.0
2010400465.0,2010400465017.0,17.0,25.0
2010400465.0,2010400465018.0,18.0,20.0
2010400465.0,2010400465019.0,19.0,723.0
2010500484.0,2010500484001.0,1.0,834.0
2010500484.0,2010500484002.0,2.0,460.0
2010500484.0,2010500484003.0,3.0,915.0
2010500484.0,2010500484004.0,4.0,795.0
2010500484.0,2010500484005.0,5.0,142.0
2010500484.0,2010500484006.0,6.0,506.0
2010500484.0,2010500484007.0,7.0,642.0
2010500484.0,2010500484008.0,8.0,315.0
2010500484.0,2010500484009.0,9.0,65.0
2020100493.0,2020100493001.0,1.0,987.0
2020100493.0,2020100493002.0,2.0,913.0
2020100495.0,2020100495001.0,1.0,226.0
2020100495.0,2020100495002.0,2.0,58.0
2020200497.0,2020200497001.0,1.0,633.0
2020200497.0,2020200497002.0,2.0,882.0
2020200497.0,2020200497003.0,3.0,79.0
2020200497.0,2020200497004.0,4.0,335.0
2020200497.0,2020200497005.0,5.0,195.0
2020200497.0,2020200497006.0,6.0,496.0
2020200497.0,2020200497007.0,7.0,137.0
2020200497.0,2020200497008.0,8.0,802.0
2020200505.0,2020200505001.0,1.0,509.0
2020200505.0,2020200505002.0,2.0,908.0
2020200505.0,2020200505003.0,3.0,72.0
2020200505.0,2020200505004.0,4.0,692.0
2020300509.0,2020300509001.0,1.0,210.0
2020300509.0,2020300509002.0,2.0,11.0
2020300509.0,2020300509003.0,3.0,970.0
2020300509.0,2020300509004.0,4.0,377.0
2020300509.0,2020300509005.0,5.0,592.0
2020300509.0,2020300509006.0,6.0,914.0
2020300509.0,2020300509007.0,7.0,776.0
2020300509.0,2020300509008.0,8.0,695.0
2020300509.0,2020300509009.0,9.0,427.0
2020300509.0,2020300509010.0,10.0,920.0
2020300509.0,2020300509011.0,11.0,35.0
2020300509.0,2020300509012.0,12.0,200.0
2020300509.0,2020300509013.0,13.0,182.0
2020300522.0,2020300522001.0,1.0,637.0
2020300522.0,2020300522002.0,2.0,67.0
2020300522.0,2020300522003.0,3.0,609.0
2020300522.0,2020300522004.0,4.0,213.0
2020300522.0,2020300522005.0,5.0,610.0
2020300522.0,2020300522006.0,6.0,202.0
2020300522.0,2020300522007.0,7.0,391.0
2020300522.0,2020300522008.0,8.0,271.0
2020300522.0,2020300522009.0,9.0,487.0
2020300522.0,2020300522010.0,10.0,791.0
2020300522.0,2020300522011.0,11.0,890.0
2020400533.0,2020400533001.0,1.0,429.0
2020400533.0,2020400533002.0,2.0,522.0
2020400533.0,2020400533003.0,3.0,44.0
2020400533.0,2020400533004.0,4.0,223.0
2020400533.0,2020400533005.0,5.0,242.0
2020400533.0,2020400533006.0,6.0,749.0
2020400533.0,2020400533007.0,7.0,442.0
2020400533.0,2020400533008.0,8.0,587.0
2020400533.0,2020400533009.0,9.0,267.0
2020400533.0,2020400533010.0,10.0,149.0
2020400533.0,2020400533011.0,11.0,771.0
2020400533.0,2020400533012.0,12.0,112.0
2020400533.0,2020400533013.0,13.0,410.0
2020400533.0,2020400533014.0,14.0,590.0
2020400533.0,2020400533015.0,15.0,330.0
2020400533.0,2020400533016.0,16.0,386.0
2020400533.0,2020400533017.0,17.0,82.0
2020400533.0,2020400533018.0,18.0,214.0
2020400533.0,2020400533019.0,19.0,221.0
2020400533.0,2020400533020.0,20.0,126.0
2020600553.0,2020600553001.0,1.0,784.0
2020600553.0,2020600553002.0,2.0,289.0
2020600553.0,2020600553003.0,3.0,884.0
2020600556.0,2020600556001.0,1.0,490.0
2020600556.0,2020600556002.0,2.0,121.0
2020600556.0,2020600556003.0,3.0,705.0
2020600556.0,2020600556004.0,4.0,153.0
2020600556.0,2020600556005.0,5.0,222.0
2020600556.0,2020600556006.0,6.0,256.0
2020600556.0,2020600556007.0,7.0,83.0
2020600556.0,2020600556008.0,8.0,725.0
2020600556.0,2020600556009.0,9.0,621.0
2020600556.0,2020600556010.0,10.0,218.0
2020600556.0,2020600556011.0,11.0,631.0
2020600556.0,2020600556012.0,12.0,138.0
2020600556.0,2020600556013.0,13.0,887.0
2020600556.0,2020600556014.0,14.0,112.0
2020600570.0,2020600570001.0,1.0,711.0
2020600570.0,2020600570002.0,2.0,597.0
2020600570.0,2020600570003.0,3.0,524.0
2020600570.0,2020600570004.0,4.0,878.0
2020600570.0,2020600570005.0,5.0,169.0
2020600570.0,2020600570006.0,6.0,728.0
2020600570.0,2020600570007.0,7.0,911.0
2020600570.0,2020600570008.0,8.0,9.0
2020600570.0,2020600570009.0,9.0,660.0
2020600570.0,2020600570010.0,10.0,245.0
2020600570.0,2020600570011.0,11.0,96.0
2020600570.0,2020600570012.0,12.0,260.0
2020600570.0,2020600570013.0,13.0,510.0
2020600570.0,2020600570014.0,14.0,415.0
2020600570.0,2020600570015.0,15.0,600.0
2020600570.0,2020600570016.0,16.0,549.0
2020600570.0,2020600570017.0,17.0,151.0
2020600570.0,2020600570018.0,18.0,655.0
2020600570.0,2020600570019.0,19.0,850.0
2020600570.0,2020600570020.0,20.0,780.0
2030100590.0,2030100590001.0,1.0,564.0
2030100591.0,2030100591001.0,1.0,180.0
2030100591.0,2030100591002.0,2.0,301.0
2030100591.0,2030100591003.0,3.0,877.0
2030100591.0,2030100591004.0,4.0,767.0
2030100591.0,2030100591005.0,5.0,330.0
2030100591.0,2030100591006.0,6.0,378.0
2030100591.0,2030100591007.0,7.0,363.0
2030100591.0,2030100591008.0,8.0,88.0
2030100591.0,2030100591009.0,9.0,159.0
2030100591.0,2030100591010.0,10.0,541.0
2030100591.0,2030100591011.0,11.0,124.0
2030100591.0,2030100591012.0,12.0,178.0
2030100591.0,2030100591013.0,13.0,566.0
2030100591.0,2030100591014.0,14.0,823.0
2030100591.0,2030100591015.0,15.0,212.0
