codigo_recinto,codigo_municipio,nombre,direccion
2030700690,20307,U.E. Abraham Flores Velasquez,Alalay
2030700699,20307,U.E. Cuatro Esquinas,Comunidad 4 Esquinas
2030800702,20308,U.E. Prof. Benedicto Duron Ortoz,La Florida
2040100714,20401,U.E. Avelino Morida,Zubieta
2040100726,20401,U.E.T.H. Mariscal Sucre,Entre Calle el Deber y Los Andes (entrada por la Av. La Resistencia)
2040200739,20402,U.E. Chillca Grande,Chillca Grande
2040300749,20403,U.E. Rumy Corral,Comunidad Rumy Corral Centro
2040300769,20403,Sede Social De Tipa Tipa,Tipa Tipa
2040300782,20403,U.E. Padre Luis Diez del Pozo,Av. Zofraco
2040400791,20404,Colegio Sebastian Pagador,Villa Sebastian Pagador Av. Machacamarca
2040500795,20405,U.E. Madre De La Divina Providencia,Otb Villa Armonia
2050100811,20501,Unidad Educativa Quturi,Quturi
2050100818,20501,(Corcel) Penitenciaria San Antonio,Av. Ayacucho Frente a La Terminal
2050200835,20502,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari)
2050300839,20503,U.E. Padre Luis Diez del Pozo,Av. Zofraco
2050300844,20503,Rodriguez,Bolovar y 16 de Julio
2060100861,20601,Centro Internado Misicuni,Misicuni
2060200871,20602,Colegio Padre Andros Cuschieri,Calle Kanaut S/N
2060200888,20602,U.E. Rumy Corral,Comunidad Rumy Corral Centro
2060200889,20602,U. E. Titos Linde,Av. Malteria C/ Innominada a una cuadra y media del Instituto Oncologico Nacional
2060200900,20602,U.E. Simon I. Patioo,Avenida Pairumani
2060300909,20603,(Corcel) Penitenciaria San Sebastian Mujeres,Plaz. San Sebastion Acera Oeste
2060300926,20603,U.E. Tocnico Humanostico San Rafael,Av. Los Molles lado Sud Posgrado Agronomia UMSS.
2060400940,20604,U.E. Simon I. Patioo,Avenida Pairumani
2060400948,20604,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari)
2060500949,20605,Sede Social Sombrerito,Sindicato Agrarario Sombrerito? Carretera Troncal Cochabamba Mizque
2060500962,20605,Unidad Educativa Estados Unidos,Isiboro y Todos Santos
2060600971,20606,Unidad Educativa Jesus Maestro,Zona Chiquicollo
2060700977,20607,Escuela Chuou Chuoini,Chuou Chuouni
2060800982,20608,U. E. Nuestra Seoora del Rosario,Pasaje Bolovar?Tarija
2070100996,20701,Unidad Educativa 14 de Septiembre,Calle Francisco Suarez entre Rigoberto Sains y Cesar Achaval
2070101009,20701,Unidad Educativa 14 de Septiembre,Calle Francisco Suarez entre Rigoberto Sains y Cesar Achaval
2070101015,20701,Unidad Educativa Iglesiani,Iglesiani
2070101020,20701,U.E. Prof. Benedicto Duron Ortoz,La Florida
2080101028,20801,Unidad Educativa Nataniel Aguirre,Av Benemeritos del Chaco y Calle Walter Rocha
2080101034,20801,Hogar Comunitario Disneylandia,Zona Sud
2080201037,20802,U.E. Simon I. Patioo,Avenida Pairumani
2080201046,20802,U.E. El Mirador,Zona 5 Alto Mirador
2080201066,20802,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150
2080301070,20803,Escuela Seccional Waripucara,Waripucara
2080301086,20803,U.E. Ayni Pacha,C. Santa Elena entre Av. Pisiga y C. Innominada ? OTB Alalay Alto Mirador
2080301089,20803,Unidad Educativa El Sausalito,Santa Rosa (Colcapirhua) c/ Martin Cardenas y Oscar Alfaro
2080401103,20804,Unidad Educativa Hno Pacifico Feletti,Villa 1o de Mayo
2080401107,20804,Kinder San Joaquon,C. Viloma entre C. Colomi y Av. De la Fuerza Aerea
2080501108,20805,U.E. San Francisco Javier,Zona Alto Buena Vista OTB ISIDRO
2080501126,20805,U.E. Bartolina Sisa,Calle Innominada
2080501128,20805,U.E. Prof. Jaime Alfonso Escalante Gutierrez,Barrio Magisterio Las Delicias
2080501136,20805,Nucleo Educativo Chapisirca,Chapisirca
2080601149,20806,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150
2080701169,20807,U.E. Avelino Morida,Zubieta
2080701175,20807,Escuela Gualberto Villarroel,Arani
2090101178,20901,Unidad Educativa Eje Pampa,Eje Pampa
2090101180,20901,U.E. Rumy Corral,Comunidad Rumy Corral Centro
2090101188,20901,Colegio Evangelico Emanuel,C. Baptista entre C. La Paz y C. J. de la Reza
2090301193,20903,Nucleo Escolar Ismael Montes,Conda Baja
2090501202,20905,Escuela Dr. Demetrio Canelas,Ayapampa
2100101213,21001,U.E. Prof. Jaime Alfonso Escalante Gutierrez,Barrio Magisterio Las Delicias
2100101220,21001,Unidad Educativa Huanacuni Grande,Huanacuni Chico
2100201240,21002,U.E. Lacuyo,Challa
2100201253,21002,(Corcel) Penitenciaria San Antonio,Av. Ayacucho Frente a La Terminal
2100301272,21003,Sede Sindical De Chahuarani Chico,En la Sede de Chahuarani Chico
2100501291,21005,U.E. Avelino Morida,Zubieta
2100601300,21006,Colegio Padre Andros Cuschieri,Calle Kanaut S/N
2100601308,21006,U.E. 27 de Mayo,Reno Barrientos Ortuoo
2110101318,21101,Colegio Pio XII,25 de Mayo entre Punata
2110101332,21101,Nucleo Escolar Ismael Montes,Conda Baja
2110201347,21102,U.E. 14 de Septiembre,Villa 14 de Septiembre
2110301353,21103,Escuela Cristal Mayu,Cristal Mayu
2110301363,21103,U.E. Nacional San Isidro,Zona Alto Buena Vista Otb Kasa Wasa
2110401373,21104,Escuela Dr. Demetrio Canelas,Ayapampa
2110401381,21104,Unidad Educativa Quiroga,Quiroga
2110501384,21105,U.E. Nacional San Isidro,Zona Alto Buena Vista Otb Kasa Wasa
2120101387,21201,Colegio Padre Andros Cuschieri,Calle Kanaut S/N
2120101399,21201,Escuela Seccional Rene Barrientos,Ventilla
2120301401,21203,U.E. San Antonio,Comunidad San Antonio
2120301417,21203,Centro Integral Nioo Jesus Fe y Alegria,Calle 4 y Miraflores
2120401418,21204,U.E. San Crispin,Calle final Sucre del Municipio de Colcapirhua
2130101435,21301,Escuela Gualberto Villarroel,Arani
2130201443,21302,U.E. Tipa Pampa,Comunidad Tipa Pampa
2130301444,21303,Colegio La Salle Fiscal,Av. Tiahuanaco Frente a Tronsito
2130401458,21304,Sede Social de OTB Cerro San Miguel Alto,Calle Ayllu esquina calle Bonifacio
2130401462,21304,Escuela Gualberto Villarroel,Arani
2140101480,21401,U.E. Nacional San Isidro,Zona Alto Buena Vista Otb Kasa Wasa
2140101499,21401,Unidad Educativa 1ro de Mayo,Primero de Mayo
2140201507,21402,Unidad Educativa Daniel Salamanca,Colcapirhua
2140201511,21402,Unidad Educativa Nataniel Aguirre,Av Benemeritos del Chaco y Calle Walter Rocha
2150101528,21501,U.E. Simon I. Patioo,Avenida Pairumani
2150101544,21501,Escuela Cristal Mayu,Cristal Mayu
2150101558,21501,Escuela Ladislao Cabrera,Chilicchi
2150201565,21502,Unidad Educativa de La Fuerza Aerea,Av de La Fuerza Aerea entre Calle Cap. Luis Garcia y Moto Mendez
2150201575,21502,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150
2160101576,21601,Colegio Boliviano Argentino,Baptista y Colombia
2160101577,21601,U.E. Vilomilla,Vilomilla
2160101597,21601,Instituto Tecnologico El Paso,Avenida Elias Meneces
2160101617,21601,Venezuela,Liceo Adela Zamudio
2160201624,21602,Escuela Monseoor Angel Gelmi,Tita Gallo
2170201630,21702,Unidad Educativa Molinero,Molinero
2170301645,21703,Colegio Boliviano Argentino,Baptista y Colombia
2170301659,21703,Sede Social de OTB Cerro San Miguel Alto,Calle Ayllu esquina calle Bonifacio
2180101679,21801,Escuela Ladislao Cabrera,Chilicchi
2180101682,21801,U.E. Pedro Domingo Murillo,Chiuchi Arriba
2180201685,21802,U.E. Zenobio Gallardo,Distrito Ramadas
2180301687,21803,Unidad Educativa Molinero,Molinero
2190201705,21902,U.E. Avelino Morida,Zubieta
2200201717,22002,Colegio Evangelico Emanuel,C. Baptista entre C. La Paz y C. J. de la Reza
2200201728,22002,U.E. El Paso A,Zona Central El Paso
2200201731,22002,Escuela Ladislao Cabrera,Chilicchi
3020101750,30201,Escuela Ladislao Cabrera,Chilicchi
3020201761,30202,Colegio Pedro Ignacio Rivero,Mizque
3020201776,30202,Escuela Ladislao Cabrera,Chilicchi
3020201793,30202,Unidad Educativa Bolivia (La Maica),La Maica Central
3020301812,30203,(Corcel) Penitenciaria San Antonio,Av. Ayacucho Frente a La Terminal
3030201820,30302,Unidad Educativa Santiago,Achandara y Calle Imnominada
3030201826,30302,Escuela Ladislao Cabrera,Chilicchi
3030201836,30302,Unidad Educativa Moleto Icoya (V.Tunari),Moleto
3030301851,30303,U.E. Israel,Zona Villa Israel
3040101870,30401,Unidad Educativa Estados Unidos,Isiboro y Todos Santos
3040101880,30401,Unidad Educativa Antonio Diez,Itocta
3040201888,30402,Escuela Eugenia Ravasco,Av. Esperanza?Rumi Mayu (Tiquipaya)
3040301890,30403,Unidad Educativa Panama,Panamo
3050101895,30501,Colegio Franz Tamayo,Calle Rafael Pavon entre Av
3050101897,30501,Colegio La Salle Fiscal,Av. Tiahuanaco Frente a Tronsito
3050101908,30501,Colegio Franz Tamayo,Calle Rafael Pavon entre Av
3060201920,30602,Unidad Educativa Domingo Savio (Ex Lorenzo Filho),Av. Aniceto Arce Nro 804 entre N. Morales
3070201933,30702,Kinder San Joaquon,C. Viloma entre C. Colomi y Av. De la Fuerza Aerea
3070201936,30702,Unidad Educativa Antonio Diez,Itocta
3070201941,30702,Unidad Educativa Thago Thago,Thago Thago
3070201956,30702,Hogar Comunitario Disneylandia,Zona Sud
3080101975,30801,Escuela Melchor Cuadros,Av. Pairumani?Vinto
3080101984,30801,Colegio Pio XII,25 de Mayo entre Punata
3080101991,30801,Unidad Educativa Tocopilla,Tocopilla
3080202003,30802,U.E. San Antonio,Comunidad San Antonio
3080302010,30803,Centro de Atencion Al Turista,Incallajta
3090102030,30901,Unidad Educativa Club De Leones,Circunvalacion 375 Enrique Arce
3090102049,30901,Unidad Educativa Central Villa Pereira,Villa Pereira
3090202051,30902,Escuela Manuel De Ugarte,Aiquile
3090302068,30903,Escuela Gualberto Villarroel,Arani
3090302072,30903,Unidad Educativa Iglesiani,Iglesiani
3100102075,31001,U.E. Prof. Benedicto Duron Ortoz,La Florida
3100102076,31001,U.E. Tiquirani,OTB Tiquirani
3100202096,31002,Escuela Ladislao Cabrera,Chilicchi
3100202104,31002,Unidad Educativa Jesus Maestro,Zona Chiquicollo
3100202116,31002,Unidad Educativa Ramadas,La Ramada
3100302129,31003,Unidad Educativa Eje Pampa,Eje Pampa
3100302139,31003,U.E. Joso Carlos Carrillo,Comunidad Tirani?Final Av. Atahuallpa segunda circunvalacion
3110102159,31101,Unidad Educativa Domingo Savio (Ex Lorenzo Filho),Av. Aniceto Arce Nro 804 entre N. Morales
3120202170,31202,Unidad Educativa Libertad,C/ Porvenir y C/ Mejillones
3120202190,31202,Colegio Franz Tamayo,Calle Rafael Pavon entre Av
3120202199,31202,Nucleo Escolar Ismael Montes,Conda Baja
3120302209,31203,Escuela Fiscal Juan XXIII A,Av. Guido Brault Omi y Mons. Francisco Cano
3120302214,31203,Sede Social de OTB Cerro San Miguel Alto,Calle Ayllu esquina calle Bonifacio
3120402223,31204,Escuela Aguada,Aguada
3120502241,31205,U.E. Chillca Grande,Chillca Grande
3120602246,31206,Unidad Educativa Chaqui Mayu,Ch Aquimayu
3130102263,31301,Unidad Educativa Chaqui Mayu,Ch Aquimayu
3130302276,31303,Unidad Educativa Rosendo Peoa,OTB Urbanizacion PIL Sarcobamba Calle Luis Zegarra entre Luis Montaoo y Jorge Udaeta
3140102277,31401,Sede Sindical Yajo Pampa,Comunidad Yajo Pampa
3140202297,31402,Unidad Educativa Panama,Panamo
3140202313,31402,Instituto Tecnologico El Paso,Avenida Elias Meneces
3140202320,31402,Unidad Educativa Estados Unidos,Isiboro y Todos Santos
3140202333,31402,U.E. Simon I. Patioo,Avenida Pairumani
3140302351,31403,Escuela Seccional Waripucara,Waripucara
3140402363,31404,U.E. Prof. Jaime Alfonso Escalante Gutierrez,Barrio Magisterio Las Delicias
3140502380,31405,U.E. San Francisco Javier,Zona Alto Buena Vista OTB ISIDRO
3140502396,31405,Escuela Dr. Demetrio Canelas,Ayapampa
3150102404,31501,U.E. San Francisco Javier,Zona Alto Buena Vista OTB ISIDRO
3160102405,31601,Escuela Chuou Chuoini,Chuou Chuouni
3160102417,31601,U.E. Serrano,Sindicato Agrarario Serrano?Carretera Troncal Cochabamba Mizque
3160202433,31602,Unidad Educativa El Sausalito,Santa Rosa (Colcapirhua) c/ Martin Cardenas y Oscar Alfaro
3160202443,31602,Centro Internado Misicuni,Misicuni
4010102454,40101,Unidad Educativa Ramadas,La Ramada
4010102470,40101,U.E. Tocnico Humanostico San Rafael,Av. Los Molles lado Sud Posgrado Agronomia UMSS.
4010202487,40102,Nucleo Escolar Beta Raqay Pampa,Raqay Pampa
4010302504,40103,Unidad Educativa Nataniel Aguirre,Av Benemeritos del Chaco y Calle Walter Rocha
4010302516,40103,Unidad Educativa Kewioal,Qhewioal
4020102525,40201,Nucleo Escolar Simon Bolivar (Thiomoko),Cleomedes blanco y Atacama
4020102528,40201,U.E. Lacolaconi,Lacolaconi
4020202545,40202,U.E. Jose Nabo Quintana Navia,Calle Cochabamba frente a la capilla Virgen de Guadalupe
4030102551,40301,U.E. El Paso A,Zona Central El Paso
4030102558,40301,Colegio La Salle,Junon y Mayor Rocha
4030102577,40301,U.E. Prof. Jaime Alfonso Escalante Gutierrez,Barrio Magisterio Las Delicias
4030202583,40302,Nucleo Escolar Beta Raqay Pampa,Raqay Pampa
4040102601,40401,Centro de Atencion Al Turista,Incallajta
4040102619,40401,Unidad Educativa Libertad,C/ Porvenir y C/ Mejillones
4040102626,40401,U.E. 14 de Septiembre,Villa 14 de Septiembre
4050102640,40501,Escuela Manuel De Ugarte,Aiquile
4050102643,40501,Unidad Educativa Atiy,Por San Isidro
4050302646,40503,Unidad Educativa Sagrada Familia,Vinto
4050402665,40504,Unidad Educativa Keraya,Keraya
4050502685,40505,Nucleo Escolar Beta Raqay Pampa,Raqay Pampa
4060102687,40601,Unidad Educativa La Sagrada Familia,Av. 16 de Julio
4060102688,40601,U.E. San Miguel,Av. Ustariz S/N
4060202703,40602,U.E. Combuyo,Calle de Combuyo
4060302723,40603,U.E. San Crispin,Calle final Sucre del Municipio de Colcapirhua
4070102727,40701,Unidad Educativa de La Fuerza Aerea,Av de La Fuerza Aerea entre Calle Cap. Luis Garcia y Moto Mendez
4080102738,40801,U.E.T.H. Mariscal Sucre,Entre Calle el Deber y Los Andes (entrada por la Av. La Resistencia)
4080202749,40802,U.E. El Mirador,Zona 5 Alto Mirador
4090102764,40901,Colegio Padre Andros Cuschieri,Calle Kanaut S/N
4090202780,40902,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari)
4090202793,40902,Sede Social De Tipa Tipa,Tipa Tipa
4090302812,40903,Colegio San Miguel (Tiquipaya),C/T. Torrico?C.Beni
4110102832,41101,Instituto Tecnologico El Paso,Avenida Elias Meneces
4110102852,41101,Unidad Educativa Hno Pacifico Feletti,Villa 1o de Mayo
4120102867,41201,Rodriguez,Bolovar y 16 de Julio
4120202879,41202,Unidad Educativa 1ro de Mayo,Primero de Mayo
4130102885,41301,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte
4140102898,41401,U.E. Tocnico Humanostico San Rafael,Av. Los Molles lado Sud Posgrado Agronomia UMSS.
4140102909,41401,Nucleo Escolar Simon Bolivar (Thiomoko),Cleomedes blanco y Atacama
4140102928,41401,U.E. El Mirador,Zona 5 Alto Mirador
4150102945,41501,U.E. Coracaba,Coracaba
4150102956,41501,Centro Integral Nioo Jesus Fe y Alegria,Calle 4 y Miraflores
4150202972,41502,Unidad Educativa Rosendo Peoa,OTB Urbanizacion PIL Sarcobamba Calle Luis Zegarra entre Luis Montaoo y Jorge Udaeta
4150302982,41503,Escuela Ismael Montes,La Chulla
4150302985,41503,Nucleo Escolar Simon Bolivar (Thiomoko),Cleomedes blanco y Atacama
5010102993,50101,Unidad Educativa Moleto Icoya (V.Tunari),Moleto
5010103004,50101,Centro de Atencion Al Turista,Incallajta
5010103008,50101,U.E. Rumy Corral,Comunidad Rumy Corral Centro
5010203010,50102,Escuela Dr. Demetrio Canelas,Ayapampa
5010203029,50102,Nucleo Escolar Ismael Montes,Conda Baja
5010303042,50103,Unidad Educativa Humamarca,Comunidad de Humamarca
5010403051,50104,Unidad Educativa Panama,Panamo
5020103054,50201,U.E. Avelino Morida,Zubieta
5020103064,50201,U.E. Ana Maroa Romero de Campero,Villa Victoria
5020203080,50202,Unidad Educativa Tocopilla,Tocopilla
5020203087,50202,Escuela Dr. Demetrio Canelas,Ayapampa
5020203097,50202,U.E. 5 de Septiembre,OTB 21 de Septiembre?Calle Tte. Benavides
5020303104,50203,Nucleo Escolar Confital,Confital
5020403109,50204,U.E. Madre De La Divina Providencia,Otb Villa Armonia
5020403111,50204,Unidad Educativa David Arzabe,Vinto
5020403127,50204,U.E. Rumy Corral,Comunidad Rumy Corral Centro
5030103138,50301,Nucleo Educativo Chapisirca,Chapisirca
5030103140,50301,U. E. Nuestra Seoora del Rosario,Pasaje Bolovar?Tarija
5030103159,50301,Unidad Educativa Central Villa Pereira,Villa Pereira
5030303170,50303,U.E. Simon I. Patioo,Avenida Pairumani
5040103186,50401,U.E. Canaon,Municipio Cochabamba Av. Pedro de Toledo entre Calle Juan de la Cruz Monje y Huanchaca
5040103192,50401,Nucleo Escolar Simon Bolivar (Thiomoko),Cleomedes blanco y Atacama
5040103193,50401,Escuela Seccional Waripucara,Waripucara
5040103194,50401,Colegio Pio XII,25 de Mayo entre Punata
5040203203,50402,Escuela Seccional Waripucara,Waripucara
5040303208,50403,Unidad Educativa Maria Emilia Riquelme (Ex Maria Cristina),Av. Cap. Victor Ustariz
5040303221,50403,U.E. Pedro Domingo Murillo,Chiuchi Arriba
5040403232,50404,Nucleo Escolar Ismael Montes,Conda Baja
5040403247,50404,U.E. San Miguel,Av. Ustariz S/N
5040503260,50405,Sede Sindical Yajo Pampa,Comunidad Yajo Pampa
5040503263,50405,U.E. Molle Pampa,Comunidad Molle Pampa
5040503283,50405,Colegio La Salle,Junon y Mayor Rocha
5050203297,50502,Escuela Ladislao Cabrera,Chilicchi
5050203314,50502,U.E. Combuyo,Calle de Combuyo
5070203329,50702,U.E. Ayni Pacha,C. Santa Elena entre Av. Pisiga y C. Innominada ? OTB Alalay Alto Mirador
5070203345,50702,U.E. 14 de Septiembre,Villa 14 de Septiembre
5080103348,50801,Unidad Educativa Chaqui Mayu,Ch Aquimayu
5080203366,50802,U.E. 14 de Septiembre,Villa 14 de Septiembre
5090103383,50901,Escuela Felix Martinez,Av. 31 de Octubre y Av. Mira Flores
5090103391,50901,Unidad Educativa Eje Pampa,Eje Pampa
5090203394,50902,U.E. Cochabamba,Calle Jordon No 236
5090203410,50902,Nucleo Escolar Simon Bolivar (Thiomoko),Cleomedes blanco y Atacama
5100103425,51001,Escuela Ladislao Cabrera,Chilicchi
5110103438,51101,U.E. Zenobio Gallardo,Distrito Ramadas
5110203458,51102,U.E. El Paso A,Zona Central El Paso
5110203471,51102,Unidad Educativa Rosendo Peoa,OTB Urbanizacion PIL Sarcobamba Calle Luis Zegarra entre Luis Montaoo y Jorge Udaeta
5110303476,51103,Colegio Franz Tamayo,Calle Rafael Pavon entre Av
5110303494,51103,U.E. Lacolaconi,Lacolaconi
5120103508,51201,U.E.T.H. Mariscal Sucre,Entre Calle el Deber y Los Andes (entrada por la Av. La Resistencia)
5120203522,51202,Unidad Educativa Domingo Savio (Ex Lorenzo Filho),Av. Aniceto Arce Nro 804 entre N. Morales
5120203536,51202,Escuela Melchor Cuadros,Av. Pairumani?Vinto
5120303537,51203,Colegio Pio XII,25 de Mayo entre Punata
5120303542,51203,U.E. San Adalberto Fe y Alegroa,Zona Cementerio Calle Sucre Final
5130103557,51301,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari)
5130103570,51301,Colegio Pedro Ignacio Rivero,Mizque
5130203573,51302,Colegio La Salle Fiscal,Av. Tiahuanaco Frente a Tronsito
5130203583,51302,Colegio Pio XII,25 de Mayo entre Punata
5140103597,51401,U.E. Rodolfo Illanes,Comunidad 16 de Julio Capihuara
5150103602,51501,Escuela Gualberto Villarroel,Arani
5150103603,51501,Colegio Pio XII,25 de Mayo entre Punata
5160103607,51601,Escuela Gualberto Villarroel,Arani
5160103612,51601,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari)
5160103618,51601,U.E. Avelino Morida,Zubieta
6020103638,60201,Unidad Educativa Jatun Pampa,Jatun Pampa
6020103648,60201,Colegio Evangelico Emanuel,C. Baptista entre C. La Paz y C. J. de la Reza
6030103654,60301,Escuela Mixta Dr. Martin Cardenas,Mina Asientos
6030103665,60301,U.E. Rodolfo Illanes,Comunidad 16 de Julio Capihuara
6030103683,60301,Nucleo Escolar Confital,Confital
6030203696,60302,U.E. Combuyo,Calle de Combuyo
6030203715,60302,Unidad Educativa El Sausalito,Santa Rosa (Colcapirhua) c/ Martin Cardenas y Oscar Alfaro
6030203717,60302,Nucleo Escolar Villa Granado,Villa Granado
6030303737,60303,Nucleo Escolar Beta Raqay Pampa,Raqay Pampa
6030303756,60303,Unidad Educ. Eduardo Lopez O E.Don Bosco,Champa Rancho
6040203775,60402,Nucleo Escolar Laguna Grande,Laguna Grande
6050103776,60501,U.E. Vilomilla,Vilomilla
6050203785,60502,U.E. El Mirador,Zona 5 Alto Mirador
6060103797,60601,Colegio Martin Cardenas,Villa Alalay Av. Siglo Xx y 10 de Noviembre
7010103804,70101,U.E. Soledad Rivas,OTB Cercado-Vinto
7010103817,70101,Colegio Mixto Tecnico Hum. Villa Bolivar,Villa Bolivar
7010203837,70102,Centro Internado Misicuni,Misicuni
7010203841,70102,Kinder San Joaquon,C. Viloma entre C. Colomi y Av. De la Fuerza Aerea
7010303847,70103,Escuela Gualberto Villarroel,Arani
7010403860,70104,Escuela Marton Cardenas,Av. Miguel Mercado Moreira?Vinto
7010403865,70104,Escuela Dr. Demetrio Canelas,Ayapampa
